outcome_id,subject_id,outcome_description,cognitive_level,evidence_type
LO-0057,SUB-019,Diseña principios y herramientas de seguridad informática para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0058,SUB-020,Aplica principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0059,SUB-020,Analiza principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0060,SUB-020,Diseña principios y herramientas de internet de las cosas para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0061,SUB-021,Aplica principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0062,SUB-021,Analiza principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0063,SUB-021,Diseña principios y herramientas de optimización aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0064,SUB-022,Aplica principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0065,SUB-022,Analiza principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0066,SUB-022,Diseña principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0067,SUB-023,Aplica principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0068,SUB-023,Analiza principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0069,SUB-023,Diseña principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0070,SUB-024,Aplica principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0071,SUB-024,Analiza principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0072,SUB-024,Diseña principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0073,SUB-025,Aplica principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0074,SUB-025,Analiza principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0075,SUB-025,Diseña principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0076,SUB-026,Aplica principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0077,SUB-026,Analiza principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0078,SUB-026,Diseña principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0079,SUB-027,Aplica principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0080,SUB-027,Analiza principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0081,SUB-027,Diseña principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0082,SUB-028,Aplica principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0083,SUB-028,Analiza principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0084,SUB-028,Diseña principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0085,SUB-029,Aplica principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0086,SUB-029,Analiza principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0087,SUB-029,Diseña principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0088,SUB-030,Aplica principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0089,SUB-030,Analiza principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0090,SUB-030,Diseña principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0091,SUB-031,Aplica principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0092,SUB-031,Analiza principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0093,SUB-031,Diseña principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0094,SUB-032,Aplica principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0095,SUB-032,Analiza principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0096,SUB-032,Diseña principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0097,SUB-033,Aplica principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0098,SUB-033,Analiza principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0099,SUB-033,Diseña principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0100,SUB-034,Aplica principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0101,SUB-034,Analiza principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0102,SUB-034,Diseña principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0103,SUB-035,Aplica principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0104,SUB-035,Analiza principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0105,SUB-035,Diseña principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0106,SUB-036,Aplica principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0107,SUB-036,Analiza principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0108,SUB-036,Diseña principios y herramientas de epidemiología para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0109,SUB-037,Aplica principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0110,SUB-037,Analiza principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0111,SUB-037,Diseña principios y herramientas de salud pública para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0112,SUB-038,Aplica principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0113,SUB-038,Analiza principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0114,SUB-038,Diseña principios y herramientas de informática en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0115,SUB-039,Aplica principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0116,SUB-039,Analiza principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0117,SUB-039,Diseña principios y herramientas de monitoreo clínico para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0118,SUB-040,Aplica principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0119,SUB-040,Analiza principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0120,SUB-040,Diseña principios y herramientas de prevención y promoción para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0121,SUB-041,Aplica principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0122,SUB-041,Analiza principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0123,SUB-041,Diseña principios y herramientas de seguridad del paciente para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0124,SUB-042,Aplica principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0125,SUB-042,Analiza principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0126,SUB-042,Diseña principios y herramientas de investigación en salud para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0127,SUB-043,Aplica principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0128,SUB-043,Analiza principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0129,SUB-043,Diseña principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0130,SUB-044,Aplica principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0131,SUB-044,Analiza principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0132,SUB-044,Diseña principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0133,SUB-045,Aplica principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0134,SUB-045,Analiza principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0135,SUB-045,Diseña principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0136,SUB-046,Aplica principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0137,SUB-046,Analiza principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0138,SUB-046,Diseña principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0139,SUB-047,Aplica principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0140,SUB-047,Analiza principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0141,SUB-047,Diseña principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0142,SUB-048,Aplica principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0143,SUB-048,Analiza principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0144,SUB-048,Diseña principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0145,SUB-049,Aplica principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0146,SUB-049,Analiza principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0147,SUB-049,Diseña principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0148,SUB-050,Aplica principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0149,SUB-050,Analiza principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0150,SUB-050,Diseña principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0151,SUB-051,Aplica principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0152,SUB-051,Analiza principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0153,SUB-051,Diseña principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0154,SUB-052,Aplica principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0155,SUB-052,Analiza principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0156,SUB-052,Diseña principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0157,SUB-053,Aplica principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0158,SUB-053,Analiza principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0159,SUB-053,Diseña principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0160,SUB-054,Aplica principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0161,SUB-054,Analiza principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0162,SUB-054,Diseña principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0163,SUB-055,Aplica principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0164,SUB-055,Analiza principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0165,SUB-055,Diseña principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0166,SUB-056,Aplica principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0167,SUB-056,Analiza principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0168,SUB-056,Diseña principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0169,SUB-057,Aplica principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0170,SUB-057,Analiza principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0171,SUB-057,Diseña principios y herramientas de analítica empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0172,SUB-058,Aplica principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0173,SUB-058,Analiza principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0174,SUB-058,Diseña principios y herramientas de finanzas cuantitativas para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0175,SUB-059,Aplica principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0176,SUB-059,Analiza principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0177,SUB-059,Diseña principios y herramientas de econometría para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0178,SUB-060,Aplica principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0179,SUB-060,Analiza principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0180,SUB-060,Diseña principios y herramientas de gestión de innovación para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0181,SUB-061,Aplica principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0182,SUB-061,Analiza principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0183,SUB-061,Diseña principios y herramientas de riesgo y decisiones para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0184,SUB-062,Aplica principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0185,SUB-062,Analiza principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0186,SUB-062,Diseña principios y herramientas de desarrollo regional para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0187,SUB-063,Aplica principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0188,SUB-063,Analiza principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0189,SUB-063,Diseña principios y herramientas de optimización empresarial para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0190,SUB-064,Aplica principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0191,SUB-064,Analiza principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0192,SUB-064,Diseña principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0193,SUB-065,Aplica principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0194,SUB-065,Analiza principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0195,SUB-065,Diseña principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0196,SUB-066,Aplica principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0197,SUB-066,Analiza principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0198,SUB-066,Diseña principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0199,SUB-067,Aplica principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0200,SUB-067,Analiza principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0201,SUB-067,Diseña principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0202,SUB-068,Aplica principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
