researcher_id,expertise_id,expertise_name,expertise_type,proficiency_level,years_experience,evidence_source
INV-015,EXP-0057,arquitecturas digitales,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-015,EXP-0058,IoT,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-015,EXP-0059,recuperación de información,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-015,EXP-0060,optimización,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-016,EXP-0061,procesamiento de señales,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-016,EXP-0062,ciberseguridad,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-016,EXP-0063,diseño experimental,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-016,EXP-0064,clasificación supervisada,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-017,EXP-0065,optimización,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-017,EXP-0066,ciberseguridad,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-017,EXP-0067,procesamiento de señales,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-017,EXP-0068,clasificación supervisada,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-018,EXP-0069,modelos predictivos,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-018,EXP-0070,educación,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-018,EXP-0071,clasificación supervisada,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-018,EXP-0072,calibración de modelos,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-019,EXP-0073,arquitecturas digitales,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-019,EXP-0074,optimización,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-019,EXP-0075,procesamiento de señales,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-019,EXP-0076,clasificación supervisada,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-020,EXP-0077,ciberseguridad,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-020,EXP-0078,IoT,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-020,EXP-0079,simulación,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-020,EXP-0080,modelos probabilísticos,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-021,EXP-0081,aprendizaje automático,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-021,EXP-0082,optimización,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-021,EXP-0083,series temporales,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-021,EXP-0084,clasificación supervisada,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-022,EXP-0085,arquitecturas digitales,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-022,EXP-0086,IoT,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-022,EXP-0087,clasificación supervisada,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-022,EXP-0088,modelamiento estadístico,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-023,EXP-0089,optimización,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-023,EXP-0090,ciberseguridad,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-023,EXP-0091,diseño experimental,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-023,EXP-0092,procesamiento de señales,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-024,EXP-0093,procesamiento de señales,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-024,EXP-0094,ciberseguridad,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-024,EXP-0095,diseño experimental,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-024,EXP-0096,clasificación supervisada,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-025,EXP-0097,procesamiento de señales,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-025,EXP-0098,aprendizaje automático,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-025,EXP-0099,simulación,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-025,EXP-0100,diseño experimental,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-026,EXP-0101,aprendizaje automático,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-026,EXP-0102,IoT,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-026,EXP-0103,modelos probabilísticos,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-026,EXP-0104,análisis causal,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-027,EXP-0105,ciberseguridad,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-027,EXP-0106,optimización,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-027,EXP-0107,análisis causal,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-027,EXP-0108,clasificación supervisada,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-028,EXP-0109,aprendizaje automático,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-028,EXP-0110,arquitecturas digitales,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-028,EXP-0111,modelamiento estadístico,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-028,EXP-0112,optimización,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-029,EXP-0113,optimización,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-029,EXP-0114,aprendizaje automático,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-029,EXP-0115,diseño experimental,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-029,EXP-0116,series temporales,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-030,EXP-0117,IoT,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-030,EXP-0118,procesamiento de señales,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-030,EXP-0119,optimización,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-030,EXP-0120,modelamiento estadístico,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-031,EXP-0121,aprendizaje automático,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-031,EXP-0122,ciberseguridad,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-031,EXP-0123,análisis causal,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-031,EXP-0124,clasificación supervisada,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-032,EXP-0125,arquitecturas digitales,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-032,EXP-0126,optimización,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-032,EXP-0127,series temporales,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-032,EXP-0128,optimización,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-033,EXP-0129,procesamiento de señales,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-033,EXP-0130,aprendizaje automático,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-033,EXP-0131,recuperación de información,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-033,EXP-0132,procesamiento de señales,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-034,EXP-0133,ciberseguridad,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-034,EXP-0134,arquitecturas digitales,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-034,EXP-0135,modelamiento estadístico,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-034,EXP-0136,optimización,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-035,EXP-0137,ciberseguridad,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-035,EXP-0138,optimización,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-035,EXP-0139,optimización,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-035,EXP-0140,diseño experimental,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-036,EXP-0141,optimización,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-036,EXP-0142,aprendizaje automático,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-036,EXP-0143,clasificación supervisada,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-036,EXP-0144,simulación,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-037,EXP-0145,IoT,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-037,EXP-0146,aprendizaje automático,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-037,EXP-0147,clasificación supervisada,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-037,EXP-0148,series temporales,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-038,EXP-0149,procesamiento de señales,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-038,EXP-0150,ciberseguridad,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-038,EXP-0151,modelos probabilísticos,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-038,EXP-0152,análisis causal,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-039,EXP-0153,optimización,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-039,EXP-0154,ciberseguridad,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-039,EXP-0155,optimización,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-039,EXP-0156,análisis causal,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-040,EXP-0157,IoT,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-040,EXP-0158,procesamiento de señales,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-040,EXP-0159,optimización,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-040,EXP-0160,series temporales,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-041,EXP-0161,arquitecturas digitales,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-041,EXP-0162,aprendizaje automático,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-041,EXP-0163,recuperación de información,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-041,EXP-0164,series temporales,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-042,EXP-0165,sensores inalámbricos,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-042,EXP-0166,salud,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-042,EXP-0167,procesamiento de señales,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-042,EXP-0168,diseño IoT,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-043,EXP-0169,riesgos laborales,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-043,EXP-0170,salud digital,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-043,EXP-0171,series temporales,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-043,EXP-0172,modelos probabilísticos,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-044,EXP-0173,seguridad del paciente,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-044,EXP-0174,epidemiología,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-044,EXP-0175,modelos probabilísticos,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-044,EXP-0176,optimización,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-045,EXP-0177,epidemiología,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-045,EXP-0178,monitoreo remoto,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-045,EXP-0179,recuperación de información,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-045,EXP-0180,clasificación supervisada,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-046,EXP-0181,seguridad del paciente,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-046,EXP-0182,salud digital,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-046,EXP-0183,modelamiento estadístico,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-046,EXP-0184,modelos probabilísticos,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-047,EXP-0185,seguridad del paciente,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-047,EXP-0186,epidemiología,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-047,EXP-0187,clasificación supervisada,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-047,EXP-0188,modelos probabilísticos,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-048,EXP-0189,monitoreo remoto,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-048,EXP-0190,salud digital,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-048,EXP-0191,modelos probabilísticos,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-048,EXP-0192,series temporales,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-049,EXP-0193,epidemiología,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-049,EXP-0194,riesgos laborales,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-049,EXP-0195,series temporales,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-049,EXP-0196,simulación,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-050,EXP-0197,señales biomédicas,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-050,EXP-0198,salud digital,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-050,EXP-0199,series temporales,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-050,EXP-0200,procesamiento de señales,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-051,EXP-0201,epidemiología,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-051,EXP-0202,riesgos laborales,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-051,EXP-0203,modelamiento estadístico,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-051,EXP-0204,recuperación de información,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-052,EXP-0205,salud digital,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-052,EXP-0206,epidemiología,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-052,EXP-0207,modelos probabilísticos,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-052,EXP-0208,optimización,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-053,EXP-0209,riesgos laborales,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-053,EXP-0210,epidemiología,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-053,EXP-0211,clasificación supervisada,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-053,EXP-0212,modelos probabilísticos,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-054,EXP-0213,monitoreo remoto,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-054,EXP-0214,riesgos laborales,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-054,EXP-0215,análisis causal,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-054,EXP-0216,clasificación supervisada,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-055,EXP-0217,riesgos laborales,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-055,EXP-0218,salud digital,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-055,EXP-0219,modelos probabilísticos,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-055,EXP-0220,modelamiento estadístico,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-056,EXP-0221,seguridad del paciente,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-056,EXP-0222,salud digital,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-056,EXP-0223,simulación,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-056,EXP-0224,diseño experimental,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-057,EXP-0225,seguridad del paciente,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-057,EXP-0226,monitoreo remoto,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-057,EXP-0227,series temporales,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-057,EXP-0228,procesamiento de señales,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-058,EXP-0229,riesgos laborales,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-058,EXP-0230,monitoreo remoto,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-058,EXP-0231,series temporales,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-058,EXP-0232,simulación,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-059,EXP-0233,señales biomédicas,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-059,EXP-0234,seguridad del paciente,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-059,EXP-0235,modelos probabilísticos,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-059,EXP-0236,análisis causal,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-060,EXP-0237,epidemiología,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-060,EXP-0238,señales biomédicas,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-060,EXP-0239,análisis causal,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-060,EXP-0240,diseño experimental,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-061,EXP-0241,riesgos laborales,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-061,EXP-0242,seguridad del paciente,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-061,EXP-0243,optimización,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-061,EXP-0244,simulación,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-062,EXP-0245,señales biomédicas,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-062,EXP-0246,seguridad del paciente,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-062,EXP-0247,simulación,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-062,EXP-0248,recuperación de información,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-063,EXP-0249,señales biomédicas,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-063,EXP-0250,seguridad del paciente,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-063,EXP-0251,simulación,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-063,EXP-0252,clasificación supervisada,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-064,EXP-0253,motivación académica,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-064,EXP-0254,educación,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-064,EXP-0255,modelos psicométricos,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-064,EXP-0256,análisis longitudinal,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-065,EXP-0257,epidemiología,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-065,EXP-0258,seguridad del paciente,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-065,EXP-0259,optimización,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-065,EXP-0260,series temporales,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-066,EXP-0261,señales biomédicas,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-066,EXP-0262,monitoreo remoto,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-066,EXP-0263,simulación,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-066,EXP-0264,modelamiento estadístico,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-067,EXP-0265,seguridad del paciente,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-067,EXP-0266,monitoreo remoto,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-067,EXP-0267,modelamiento estadístico,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-067,EXP-0268,análisis causal,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-068,EXP-0269,riesgos laborales,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-068,EXP-0270,seguridad del paciente,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-068,EXP-0271,modelamiento estadístico,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-068,EXP-0272,modelos probabilísticos,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-069,EXP-0273,monitoreo remoto,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-069,EXP-0274,riesgos laborales,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-069,EXP-0275,clasificación supervisada,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-069,EXP-0276,modelamiento estadístico,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-070,EXP-0277,riesgos laborales,DOMAIN,5,8,PROFILE_AND_OUTPUTS
INV-070,EXP-0278,epidemiología,DOMAIN,4,8,PROFILE_AND_OUTPUTS
INV-070,EXP-0279,análisis causal,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-070,EXP-0280,procesamiento de señales,METHOD,4,8,PROFILE_AND_OUTPUTS
INV-071,EXP-0281,riesgos laborales,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-071,EXP-0282,señales biomédicas,DOMAIN,5,9,PROFILE_AND_OUTPUTS
INV-071,EXP-0283,optimización,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-071,EXP-0284,análisis causal,METHOD,4,9,PROFILE_AND_OUTPUTS
INV-072,EXP-0285,señales biomédicas,DOMAIN,5,2,PROFILE_AND_OUTPUTS
INV-072,EXP-0286,riesgos laborales,DOMAIN,3,2,PROFILE_AND_OUTPUTS
INV-072,EXP-0287,clasificación supervisada,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-072,EXP-0288,optimización,METHOD,4,2,PROFILE_AND_OUTPUTS
INV-073,EXP-0289,seguridad del paciente,DOMAIN,5,3,PROFILE_AND_OUTPUTS
INV-073,EXP-0290,señales biomédicas,DOMAIN,4,3,PROFILE_AND_OUTPUTS
INV-073,EXP-0291,simulación,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-073,EXP-0292,modelamiento estadístico,METHOD,4,3,PROFILE_AND_OUTPUTS
INV-074,EXP-0293,innovación organizacional,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-074,EXP-0294,economía regional,DOMAIN,5,5,PROFILE_AND_OUTPUTS
INV-074,EXP-0295,recuperación de información,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-074,EXP-0296,modelamiento estadístico,METHOD,4,5,PROFILE_AND_OUTPUTS
INV-075,EXP-0297,innovación organizacional,DOMAIN,5,6,PROFILE_AND_OUTPUTS
INV-075,EXP-0298,series temporales,DOMAIN,3,6,PROFILE_AND_OUTPUTS
INV-075,EXP-0299,recuperación de información,METHOD,4,6,PROFILE_AND_OUTPUTS
INV-075,EXP-0300,clasificación supervisada,METHOD,4,6,PROFILE_AND_OUTPUTS
