capability_id,capability_name,capability_type,description,responsible_unit,available_resources,application_domains,maturity_level,status
CAP-001,Internet de las Cosas — capacidad 01,LABORATORY,Capacidad institucional para internet de las cosas aplicada a problemas de salud.,FAC-001,personal especializado; infraestructura; herramientas,salud; ambiente,3,ACTIVE
CAP-028,Calidad de Agua — capacidad 28,HUMAN,Capacidad institucional para calidad de agua aplicada a problemas de finanzas.,FAC-004,personal especializado; infraestructura; herramientas,finanzas; territorio,3,ACTIVE
CAP-029,Analítica Académica — capacidad 29,LABORATORY,Capacidad institucional para analítica académica aplicada a problemas de industria.,FAC-005,personal especializado; infraestructura; herramientas,industria; energía,4,ACTIVE
CAP-030,Cómputo de Alto Rendimiento — capacidad 30,COMPUTATIONAL,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de territorio.,FAC-006,personal especializado; infraestructura; herramientas,territorio; software,5,ACTIVE
CAP-031,Seguridad Digital — capacidad 31,DATA,Capacidad institucional para seguridad digital aplicada a problemas de energía.,FAC-001,personal especializado; infraestructura; herramientas,energía; salud,3,ACTIVE
CAP-032,Instrumentación Física — capacidad 32,METHODOLOGICAL,Capacidad institucional para instrumentación física aplicada a problemas de software.,FAC-002,personal especializado; infraestructura; herramientas,software; educación,4,ACTIVE
CAP-033,Simulación Clínica — capacidad 33,TECHNOLOGICAL,Capacidad institucional para simulación clínica aplicada a problemas de salud.,FAC-003,personal especializado; infraestructura; herramientas,salud; ambiente,5,ACTIVE
CAP-034,Desarrollo Regional — capacidad 34,INFRASTRUCTURE,Capacidad institucional para desarrollo regional aplicada a problemas de educación.,FAC-004,personal especializado; infraestructura; herramientas,educación; finanzas,3,ACTIVE
CAP-035,Innovación Educativa — capacidad 35,HUMAN,Capacidad institucional para innovación educativa aplicada a problemas de ambiente.,FAC-005,personal especializado; infraestructura; herramientas,ambiente; industria,4,ACTIVE
CAP-036,Infraestructura Inteligente — capacidad 36,LABORATORY,Capacidad institucional para infraestructura inteligente aplicada a problemas de finanzas.,FAC-006,personal especializado; infraestructura; herramientas,finanzas; territorio,5,ACTIVE
CAP-037,Internet de las Cosas — capacidad 37,COMPUTATIONAL,Capacidad institucional para internet de las cosas aplicada a problemas de industria.,FAC-001,personal especializado; infraestructura; herramientas,industria; energía,3,ACTIVE
CAP-038,Analítica y Ciencia de Datos — capacidad 38,DATA,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de territorio.,FAC-002,personal especializado; infraestructura; herramientas,territorio; software,4,ACTIVE
CAP-039,Bioinstrumentación — capacidad 39,METHODOLOGICAL,Capacidad institucional para bioinstrumentación aplicada a problemas de energía.,FAC-003,personal especializado; infraestructura; herramientas,energía; salud,5,ACTIVE
CAP-040,Calidad de Agua — capacidad 40,TECHNOLOGICAL,Capacidad institucional para calidad de agua aplicada a problemas de software.,FAC-004,personal especializado; infraestructura; herramientas,software; educación,3,ACTIVE
CAP-041,Analítica Académica — capacidad 41,INFRASTRUCTURE,Capacidad institucional para analítica académica aplicada a problemas de salud.,FAC-005,personal especializado; infraestructura; herramientas,salud; ambiente,4,ACTIVE
CAP-042,Cómputo de Alto Rendimiento — capacidad 42,HUMAN,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de educación.,FAC-006,personal especializado; infraestructura; herramientas,educación; finanzas,5,ACTIVE
CAP-043,Seguridad Digital — capacidad 43,LABORATORY,Capacidad institucional para seguridad digital aplicada a problemas de ambiente.,FAC-001,personal especializado; infraestructura; herramientas,ambiente; industria,3,ACTIVE
CAP-044,Instrumentación Física — capacidad 44,COMPUTATIONAL,Capacidad institucional para instrumentación física aplicada a problemas de finanzas.,FAC-002,personal especializado; infraestructura; herramientas,finanzas; territorio,4,ACTIVE
CAP-045,Simulación Clínica — capacidad 45,DATA,Capacidad institucional para simulación clínica aplicada a problemas de industria.,FAC-003,personal especializado; infraestructura; herramientas,industria; energía,5,ACTIVE
CAP-046,Desarrollo Regional — capacidad 46,METHODOLOGICAL,Capacidad institucional para desarrollo regional aplicada a problemas de territorio.,FAC-004,personal especializado; infraestructura; herramientas,territorio; software,3,ACTIVE
CAP-047,Innovación Educativa — capacidad 47,TECHNOLOGICAL,Capacidad institucional para innovación educativa aplicada a problemas de energía.,FAC-005,personal especializado; infraestructura; herramientas,energía; salud,4,ACTIVE
CAP-048,Infraestructura Inteligente — capacidad 48,INFRASTRUCTURE,Capacidad institucional para infraestructura inteligente aplicada a problemas de software.,FAC-006,personal especializado; infraestructura; herramientas,software; educación,5,ACTIVE
CAP-049,Internet de las Cosas — capacidad 49,HUMAN,Capacidad institucional para internet de las cosas aplicada a problemas de salud.,FAC-001,personal especializado; infraestructura; herramientas,salud; ambiente,3,ACTIVE
CAP-050,Analítica y Ciencia de Datos — capacidad 50,LABORATORY,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de educación.,FAC-002,personal especializado; infraestructura; herramientas,educación; finanzas,4,ACTIVE
CAP-051,Bioinstrumentación — capacidad 51,COMPUTATIONAL,Capacidad institucional para bioinstrumentación aplicada a problemas de ambiente.,FAC-003,personal especializado; infraestructura; herramientas,ambiente; industria,5,ACTIVE
CAP-052,Calidad de Agua — capacidad 52,DATA,Capacidad institucional para calidad de agua aplicada a problemas de finanzas.,FAC-004,personal especializado; infraestructura; herramientas,finanzas; territorio,3,ACTIVE
CAP-053,Analítica Académica — capacidad 53,METHODOLOGICAL,Capacidad institucional para analítica académica aplicada a problemas de industria.,FAC-005,personal especializado; infraestructura; herramientas,industria; energía,4,ACTIVE
CAP-054,Cómputo de Alto Rendimiento — capacidad 54,TECHNOLOGICAL,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de territorio.,FAC-006,personal especializado; infraestructura; herramientas,territorio; software,5,ACTIVE
CAP-055,Seguridad Digital — capacidad 55,INFRASTRUCTURE,Capacidad institucional para seguridad digital aplicada a problemas de energía.,FAC-001,personal especializado; infraestructura; herramientas,energía; salud,3,ACTIVE
CAP-056,Instrumentación Física — capacidad 56,HUMAN,Capacidad institucional para instrumentación física aplicada a problemas de software.,FAC-002,personal especializado; infraestructura; herramientas,software; educación,4,ACTIVE
CAP-057,Simulación Clínica — capacidad 57,LABORATORY,Capacidad institucional para simulación clínica aplicada a problemas de salud.,FAC-003,personal especializado; infraestructura; herramientas,salud; ambiente,5,ACTIVE
CAP-058,Desarrollo Regional — capacidad 58,COMPUTATIONAL,Capacidad institucional para desarrollo regional aplicada a problemas de educación.,FAC-004,personal especializado; infraestructura; herramientas,educación; finanzas,3,ACTIVE
CAP-059,Innovación Educativa — capacidad 59,DATA,Capacidad institucional para innovación educativa aplicada a problemas de ambiente.,FAC-005,personal especializado; infraestructura; herramientas,ambiente; industria,4,ACTIVE
CAP-060,Infraestructura Inteligente — capacidad 60,METHODOLOGICAL,Capacidad institucional para infraestructura inteligente aplicada a problemas de finanzas.,FAC-006,personal especializado; infraestructura; herramientas,finanzas; territorio,5,ACTIVE
CAP-061,Internet de las Cosas — capacidad 61,TECHNOLOGICAL,Capacidad institucional para internet de las cosas aplicada a problemas de industria.,FAC-001,personal especializado; infraestructura; herramientas,industria; energía,3,ACTIVE
CAP-062,Analítica y Ciencia de Datos — capacidad 62,INFRASTRUCTURE,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de territorio.,FAC-002,personal especializado; infraestructura; herramientas,territorio; software,4,ACTIVE
CAP-063,Bioinstrumentación — capacidad 63,HUMAN,Capacidad institucional para bioinstrumentación aplicada a problemas de energía.,FAC-003,personal especializado; infraestructura; herramientas,energía; salud,5,ACTIVE
CAP-064,Calidad de Agua — capacidad 64,LABORATORY,Capacidad institucional para calidad de agua aplicada a problemas de software.,FAC-004,personal especializado; infraestructura; herramientas,software; educación,3,ACTIVE
CAP-065,Analítica Académica — capacidad 65,COMPUTATIONAL,Capacidad institucional para analítica académica aplicada a problemas de salud.,FAC-005,personal especializado; infraestructura; herramientas,salud; ambiente,4,ACTIVE
CAP-066,Cómputo de Alto Rendimiento — capacidad 66,DATA,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de educación.,FAC-006,personal especializado; infraestructura; herramientas,educación; finanzas,5,ACTIVE
CAP-067,Seguridad Digital — capacidad 67,METHODOLOGICAL,Capacidad institucional para seguridad digital aplicada a problemas de ambiente.,FAC-001,personal especializado; infraestructura; herramientas,ambiente; industria,3,ACTIVE
CAP-068,Instrumentación Física — capacidad 68,TECHNOLOGICAL,Capacidad institucional para instrumentación física aplicada a problemas de finanzas.,FAC-002,personal especializado; infraestructura; herramientas,finanzas; territorio,4,ACTIVE
CAP-069,Simulación Clínica — capacidad 69,INFRASTRUCTURE,Capacidad institucional para simulación clínica aplicada a problemas de industria.,FAC-003,personal especializado; infraestructura; herramientas,industria; energía,5,ACTIVE
CAP-070,Desarrollo Regional — capacidad 70,HUMAN,Capacidad institucional para desarrollo regional aplicada a problemas de territorio.,FAC-004,personal especializado; infraestructura; herramientas,territorio; software,3,ACTIVE
CAP-071,Innovación Educativa — capacidad 71,LABORATORY,Capacidad institucional para innovación educativa aplicada a problemas de energía.,FAC-005,personal especializado; infraestructura; herramientas,energía; salud,4,ACTIVE
CAP-072,Infraestructura Inteligente — capacidad 72,COMPUTATIONAL,Capacidad institucional para infraestructura inteligente aplicada a problemas de software.,FAC-006,personal especializado; infraestructura; herramientas,software; educación,5,ACTIVE
CAP-073,Internet de las Cosas — capacidad 73,DATA,Capacidad institucional para internet de las cosas aplicada a problemas de salud.,FAC-001,personal especializado; infraestructura; herramientas,salud; ambiente,3,ACTIVE
CAP-074,Analítica y Ciencia de Datos — capacidad 74,METHODOLOGICAL,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de educación.,FAC-002,personal especializado; infraestructura; herramientas,educación; finanzas,4,ACTIVE
CAP-075,Bioinstrumentación — capacidad 75,TECHNOLOGICAL,Capacidad institucional para bioinstrumentación aplicada a problemas de ambiente.,FAC-003,personal especializado; infraestructura; herramientas,ambiente; industria,5,ACTIVE
CAP-076,Calidad de Agua — capacidad 76,INFRASTRUCTURE,Capacidad institucional para calidad de agua aplicada a problemas de finanzas.,FAC-004,personal especializado; infraestructura; herramientas,finanzas; territorio,3,ACTIVE
CAP-077,Analítica Académica — capacidad 77,HUMAN,Capacidad institucional para analítica académica aplicada a problemas de industria.,FAC-005,personal especializado; infraestructura; herramientas,industria; energía,4,ACTIVE
CAP-078,Cómputo de Alto Rendimiento — capacidad 78,LABORATORY,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de territorio.,FAC-006,personal especializado; infraestructura; herramientas,territorio; software,5,ACTIVE
CAP-079,Seguridad Digital — capacidad 79,COMPUTATIONAL,Capacidad institucional para seguridad digital aplicada a problemas de energía.,FAC-001,personal especializado; infraestructura; herramientas,energía; salud,3,ACTIVE
CAP-080,Instrumentación Física — capacidad 80,DATA,Capacidad institucional para instrumentación física aplicada a problemas de software.,FAC-002,personal especializado; infraestructura; herramientas,software; educación,4,ACTIVE
CAP-081,Simulación Clínica — capacidad 81,METHODOLOGICAL,Capacidad institucional para simulación clínica aplicada a problemas de salud.,FAC-003,personal especializado; infraestructura; herramientas,salud; ambiente,5,ACTIVE
CAP-082,Desarrollo Regional — capacidad 82,TECHNOLOGICAL,Capacidad institucional para desarrollo regional aplicada a problemas de educación.,FAC-004,personal especializado; infraestructura; herramientas,educación; finanzas,3,ACTIVE
CAP-083,Innovación Educativa — capacidad 83,INFRASTRUCTURE,Capacidad institucional para innovación educativa aplicada a problemas de ambiente.,FAC-005,personal especializado; infraestructura; herramientas,ambiente; industria,4,ACTIVE
CAP-084,Infraestructura Inteligente — capacidad 84,HUMAN,Capacidad institucional para infraestructura inteligente aplicada a problemas de finanzas.,FAC-006,personal especializado; infraestructura; herramientas,finanzas; territorio,5,ACTIVE
CAP-085,Internet de las Cosas — capacidad 85,LABORATORY,Capacidad institucional para internet de las cosas aplicada a problemas de industria.,FAC-001,personal especializado; infraestructura; herramientas,industria; energía,3,ACTIVE
CAP-086,Analítica y Ciencia de Datos — capacidad 86,COMPUTATIONAL,Capacidad institucional para analítica y ciencia de datos aplicada a problemas de territorio.,FAC-002,personal especializado; infraestructura; herramientas,territorio; software,4,ACTIVE
CAP-087,Bioinstrumentación — capacidad 87,DATA,Capacidad institucional para bioinstrumentación aplicada a problemas de energía.,FAC-003,personal especializado; infraestructura; herramientas,energía; salud,5,ACTIVE
CAP-088,Calidad de Agua — capacidad 88,METHODOLOGICAL,Capacidad institucional para calidad de agua aplicada a problemas de software.,FAC-004,personal especializado; infraestructura; herramientas,software; educación,3,ACTIVE
CAP-089,Analítica Académica — capacidad 89,TECHNOLOGICAL,Capacidad institucional para analítica académica aplicada a problemas de salud.,FAC-005,personal especializado; infraestructura; herramientas,salud; ambiente,4,ACTIVE
CAP-090,Cómputo de Alto Rendimiento — capacidad 90,INFRASTRUCTURE,Capacidad institucional para cómputo de alto rendimiento aplicada a problemas de educación.,FAC-006,personal especializado; infraestructura; herramientas,educación; finanzas,5,ACTIVE
CAP-091,Seguridad Digital — capacidad 91,HUMAN,Capacidad institucional para seguridad digital aplicada a problemas de ambiente.,FAC-001,personal especializado; infraestructura; herramientas,ambiente; industria,3,ACTIVE
CAP-092,Instrumentación Física — capacidad 92,LABORATORY,Capacidad institucional para instrumentación física aplicada a problemas de finanzas.,FAC-002,personal especializado; infraestructura; herramientas,finanzas; territorio,4,ACTIVE
CAP-093,Simulación Clínica — capacidad 93,COMPUTATIONAL,Capacidad institucional para simulación clínica aplicada a problemas de industria.,FAC-003,personal especializado; infraestructura; herramientas,industria; energía,5,ACTIVE
CAP-094,Desarrollo Regional — capacidad 94,DATA,Capacidad institucional para desarrollo regional aplicada a problemas de territorio.,FAC-004,personal especializado; infraestructura; herramientas,territorio; software,3,ACTIVE
CAP-095,Innovación Educativa — capacidad 95,METHODOLOGICAL,Capacidad institucional para innovación educativa aplicada a problemas de energía.,FAC-005,personal especializado; infraestructura; herramientas,energía; salud,4,ACTIVE
CAP-096,Infraestructura Inteligente — capacidad 96,TECHNOLOGICAL,Capacidad institucional para infraestructura inteligente aplicada a problemas de software.,FAC-006,personal especializado; infraestructura; herramientas,software; educación,5,ACTIVE
