project_id,title,project_type,status,problem_statement,abstract,general_objective,methodology,expected_results,application_context,faculty_id,program_id,group_id,start_year,end_year,keywords,disciplinary_area,funding_type,source_document
PRJ-011,Integración de evidencia sobre secuencias de aprendizaje en escenarios de perfil del estudiante,INSTITUTIONAL,COMPLETED,La información sobre secuencias de aprendizaje se encuentra distribuida y existen dificultades para relacionarla con perfil del estudiante de manera verificable.,"Proyecto orientado a estudiar secuencias de aprendizaje y su relación con perfil del estudiante, integrando evidencia institucional y un enfoque de modelamiento de usuarios.",Desarrollar y evaluar un enfoque de modelamiento de usuarios que permita analizar secuencias de aprendizaje y generar evidencia útil para perfil del estudiante.,"Integración de fuentes, preparación de datos, modelamiento de usuarios, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con perfil del estudiante.",perfil del estudiante,FAC-004,PRG-010,GRP-012,2022,2023,secuencias de aprendizaje;modelamiento de usuarios;perfil del estudiante,Licenciatura en Tecnología e Informática,INTERNAL,project_profile_011.md
PRJ-012,Estrategia basada en sistemas recomendadores para estudiar learning analytics,APPLIED_RESEARCH,COMPLETED,La información sobre learning analytics se encuentra distribuida y existen dificultades para relacionarla con aprendizaje adaptativo de manera verificable.,"Proyecto orientado a estudiar learning analytics y su relación con aprendizaje adaptativo, integrando evidencia institucional y un enfoque de sistemas recomendadores.",Desarrollar y evaluar un enfoque de sistemas recomendadores que permita analizar learning analytics y generar evidencia útil para aprendizaje adaptativo.,"Integración de fuentes, preparación de datos, sistemas recomendadores, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con aprendizaje adaptativo.",aprendizaje adaptativo,FAC-004,PRG-010,GRP-014,2023,2024,learning analytics;sistemas recomendadores;aprendizaje adaptativo,Licenciatura en Tecnología e Informática,INTERNAL,project_profile_012.md
PRJ-013,Análisis aplicado de perfil del estudiante para fortalecer personalización,INSTITUTIONAL,ACTIVE,La información sobre perfil del estudiante se encuentra distribuida y existen dificultades para relacionarla con personalización de manera verificable.,"Proyecto orientado a estudiar perfil del estudiante y su relación con personalización, integrando evidencia institucional y un enfoque de analítica educativa.",Desarrollar y evaluar un enfoque de analítica educativa que permita analizar perfil del estudiante y generar evidencia útil para personalización.,"Integración de fuentes, preparación de datos, analítica educativa, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con personalización.",personalización,FAC-004,PRG-011,GRP-013,2024,2025,perfil del estudiante;analítica educativa;personalización,Psicología,PUBLIC_CALL,project_profile_013.md
PRJ-014,Modelo institucional para aprendizaje adaptativo y su relación con secuencias de aprendizaje,APPLIED_RESEARCH,FORMULATION,La información sobre aprendizaje adaptativo se encuentra distribuida y existen dificultades para relacionarla con secuencias de aprendizaje de manera verificable.,"Proyecto orientado a estudiar aprendizaje adaptativo y su relación con secuencias de aprendizaje, integrando evidencia institucional y un enfoque de modelamiento de usuarios.",Desarrollar y evaluar un enfoque de modelamiento de usuarios que permita analizar aprendizaje adaptativo y generar evidencia útil para secuencias de aprendizaje.,"Integración de fuentes, preparación de datos, modelamiento de usuarios, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con secuencias de aprendizaje.",secuencias de aprendizaje,FAC-004,PRG-010,GRP-012,2025,2026,aprendizaje adaptativo;modelamiento de usuarios;secuencias de aprendizaje,Licenciatura en Tecnología e Informática,EXTERNAL_PARTNER,project_profile_014.md
PRJ-015,Integración de evidencia sobre personalización en escenarios de learning analytics,INSTITUTIONAL,ACTIVE,La información sobre personalización se encuentra distribuida y existen dificultades para relacionarla con learning analytics de manera verificable.,"Proyecto orientado a estudiar personalización y su relación con learning analytics, integrando evidencia institucional y un enfoque de sistemas recomendadores.",Desarrollar y evaluar un enfoque de sistemas recomendadores que permita analizar personalización y generar evidencia útil para learning analytics.,"Integración de fuentes, preparación de datos, sistemas recomendadores, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con learning analytics.",learning analytics,FAC-004,PRG-012,GRP-014,2026,,personalización;sistemas recomendadores;learning analytics,Ciencias de la Educación,INTERNAL,project_profile_015.md
PRJ-016,Secuencias De Aprendizaje: an applied study for perfil del estudiante,APPLIED_RESEARCH,COMPLETED,"Existing information about secuencias de aprendizaje is fragmented across academic and institutional sources, limiting timely analysis.","This project investigates secuencias de aprendizaje in relation to perfil del estudiante, using analítica educativa. It focuses on institutional evidence and reproducible decision support.",Develop and evaluate an approach based on analítica educativa to connect evidence related to secuencias de aprendizaje and perfil del estudiante.,"Applied study combining data integration, analítica educativa, validation and traceable analysis.","Expected outputs include validated evidence, prioritized findings and a reproducible analytical component.",perfil del estudiante,FAC-004,PRG-011,GRP-013,2018,2019,secuencias de aprendizaje;analítica educativa;perfil del estudiante,Psicología,INTERNAL,project_profile_016.md
PRJ-017,Análisis aplicado de competencias para fortalecer evaluación formativa,INSTITUTIONAL,ACTIVE,La información sobre competencias se encuentra distribuida y existen dificultades para relacionarla con evaluación formativa de manera verificable.,"Proyecto orientado a estudiar competencias y su relación con evaluación formativa, integrando evidencia institucional y un enfoque de procesamiento de lenguaje natural.",Desarrollar y evaluar un enfoque de procesamiento de lenguaje natural que permita analizar competencias y generar evidencia útil para evaluación formativa.,"Integración de fuentes, preparación de datos, procesamiento de lenguaje natural, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con evaluación formativa.",evaluación formativa,FAC-004,PRG-012,GRP-012,2021,2022,competencias;procesamiento de lenguaje natural;evaluación formativa,Ciencias de la Educación,PUBLIC_CALL,project_profile_017.md
PRJ-018,Modelo institucional para evidencias de aprendizaje y su relación con rubric analysis,APPLIED_RESEARCH,FORMULATION,La información sobre evidencias de aprendizaje se encuentra distribuida y existen dificultades para relacionarla con rubric analysis de manera verificable.,"Proyecto orientado a estudiar evidencias de aprendizaje y su relación con rubric analysis, integrando evidencia institucional y un enfoque de clasificación de textos.",Desarrollar y evaluar un enfoque de clasificación de textos que permita analizar evidencias de aprendizaje y generar evidencia útil para rubric analysis.,"Integración de fuentes, preparación de datos, clasificación de textos, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con rubric analysis.",rubric analysis,FAC-004,PRG-012,GRP-013,2022,2023,evidencias de aprendizaje;clasificación de textos;rubric analysis,Ciencias de la Educación,EXTERNAL_PARTNER,project_profile_018.md
PRJ-019,Integración de evidencia sobre evaluación formativa en escenarios de resultados de aprendizaje,INSTITUTIONAL,ACTIVE,La información sobre evaluación formativa se encuentra distribuida y existen dificultades para relacionarla con resultados de aprendizaje de manera verificable.,"Proyecto orientado a estudiar evaluación formativa y su relación con resultados de aprendizaje, integrando evidencia institucional y un enfoque de analítica curricular.",Desarrollar y evaluar un enfoque de analítica curricular que permita analizar evaluación formativa y generar evidencia útil para resultados de aprendizaje.,"Integración de fuentes, preparación de datos, analítica curricular, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con resultados de aprendizaje.",resultados de aprendizaje,FAC-004,PRG-012,GRP-012,2023,2024,evaluación formativa;analítica curricular;resultados de aprendizaje,Ciencias de la Educación,INTERNAL,project_profile_019.md
PRJ-020,Estrategia basada en procesamiento de lenguaje natural para estudiar rubric analysis,APPLIED_RESEARCH,COMPLETED,La información sobre rubric analysis se encuentra distribuida y existen dificultades para relacionarla con competencias de manera verificable.,"Proyecto orientado a estudiar rubric analysis y su relación con competencias, integrando evidencia institucional y un enfoque de procesamiento de lenguaje natural.",Desarrollar y evaluar un enfoque de procesamiento de lenguaje natural que permita analizar rubric analysis y generar evidencia útil para competencias.,"Integración de fuentes, preparación de datos, procesamiento de lenguaje natural, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con competencias.",competencias,FAC-004,PRG-012,GRP-012,2024,2025,rubric analysis;procesamiento de lenguaje natural;competencias,Ciencias de la Educación,INTERNAL,project_profile_020.md
PRJ-021,Análisis aplicado de resultados de aprendizaje para fortalecer evidencias de aprendizaje,INSTITUTIONAL,COMPLETED,La información sobre resultados de aprendizaje se encuentra distribuida y existen dificultades para relacionarla con evidencias de aprendizaje de manera verificable.,"Proyecto orientado a estudiar resultados de aprendizaje y su relación con evidencias de aprendizaje, integrando evidencia institucional y un enfoque de clasificación de textos.",Desarrollar y evaluar un enfoque de clasificación de textos que permita analizar resultados de aprendizaje y generar evidencia útil para evidencias de aprendizaje.,"Integración de fuentes, preparación de datos, clasificación de textos, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con evidencias de aprendizaje.",evidencias de aprendizaje,FAC-004,PRG-012,GRP-014,2025,2026,resultados de aprendizaje;clasificación de textos;evidencias de aprendizaje,Ciencias de la Educación,PUBLIC_CALL,
PRJ-022,Modelo institucional para competencias y su relación con evaluación formativa,APPLIED_RESEARCH,ACTIVE,La información sobre competencias se encuentra distribuida y existen dificultades para relacionarla con evaluación formativa de manera verificable.,"Proyecto orientado a estudiar competencias y su relación con evaluación formativa, integrando evidencia institucional y un enfoque de analítica curricular.",Desarrollar y evaluar un enfoque de analítica curricular que permita analizar competencias y generar evidencia útil para evaluación formativa.,"Integración de fuentes, preparación de datos, analítica curricular, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con evaluación formativa.",evaluación formativa,FAC-004,PRG-012,GRP-014,2026,,competencias;analítica curricular;evaluación formativa,Ciencias de la Educación,EXTERNAL_PARTNER,
PRJ-023,Integración de evidencia sobre evidencias de aprendizaje en escenarios de rubric analysis,INSTITUTIONAL,FORMULATION,La información sobre evidencias de aprendizaje se encuentra distribuida y existen dificultades para relacionarla con rubric analysis de manera verificable.,"Proyecto orientado a estudiar evidencias de aprendizaje y su relación con rubric analysis, integrando evidencia institucional y un enfoque de procesamiento de lenguaje natural.",Desarrollar y evaluar un enfoque de procesamiento de lenguaje natural que permita analizar evidencias de aprendizaje y generar evidencia útil para rubric analysis.,"Integración de fuentes, preparación de datos, procesamiento de lenguaje natural, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con rubric analysis.",rubric analysis,FAC-004,PRG-011,GRP-014,2018,2019,evidencias de aprendizaje;procesamiento de lenguaje natural;rubric analysis,Psicología,INTERNAL,
PRJ-024,Evaluación Formativa: an applied study for resultados de aprendizaje,APPLIED_RESEARCH,ACTIVE,"Existing information about evaluación formativa is fragmented across academic and institutional sources, limiting timely analysis.","This project investigates evaluación formativa in relation to resultados de aprendizaje, using clasificación de textos. It focuses on institutional evidence and reproducible decision support.",Develop and evaluate an approach based on clasificación de textos to connect evidence related to evaluación formativa and resultados de aprendizaje.,"Applied study combining data integration, clasificación de textos, validation and traceable analysis.","Expected outputs include validated evidence, prioritized findings and a reproducible analytical component.",resultados de aprendizaje,FAC-004,PRG-010,GRP-014,2019,2020,evaluación formativa;clasificación de textos;resultados de aprendizaje,Licenciatura en Tecnología e Informática,INTERNAL,
PRJ-025,Análisis aplicado de antecedentes investigativos para fortalecer trabajos de grado,INSTITUTIONAL,COMPLETED,La información sobre antecedentes investigativos se encuentra distribuida y existen dificultades para relacionarla con trabajos de grado de manera verificable.,"Proyecto orientado a estudiar antecedentes investigativos y su relación con trabajos de grado, integrando evidencia institucional y un enfoque de recuperación de información.",Desarrollar y evaluar un enfoque de recuperación de información que permita analizar antecedentes investigativos y generar evidencia útil para trabajos de grado.,"Integración de fuentes, preparación de datos, recuperación de información, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con trabajos de grado.",trabajos de grado,FAC-006,PRG-017,GRP-018,2022,2023,antecedentes investigativos;recuperación de información;trabajos de grado,Física,PUBLIC_CALL,
PRJ-026,Modelo institucional para similitud conceptual y su relación con research similarity,APPLIED_RESEARCH,ACTIVE,La información sobre similitud conceptual se encuentra distribuida y existen dificultades para relacionarla con research similarity de manera verificable.,"Proyecto orientado a estudiar similitud conceptual y su relación con research similarity, integrando evidencia institucional y un enfoque de NLP.",Desarrollar y evaluar un enfoque de NLP que permita analizar similitud conceptual y generar evidencia útil para research similarity.,"Integración de fuentes, preparación de datos, NLP, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con research similarity.",research similarity,FAC-006,PRG-018,GRP-019,2023,2024,similitud conceptual;NLP;research similarity,Ciencia de Datos,EXTERNAL_PARTNER,
PRJ-027,Integración de evidencia sobre trabajos de grado en escenarios de recuperación semántica,INSTITUTIONAL,FORMULATION,La información sobre trabajos de grado se encuentra distribuida y existen dificultades para relacionarla con recuperación semántica de manera verificable.,"Proyecto orientado a estudiar trabajos de grado y su relación con recuperación semántica, integrando evidencia institucional y un enfoque de representaciones semánticas.",Desarrollar y evaluar un enfoque de representaciones semánticas que permita analizar trabajos de grado y generar evidencia útil para recuperación semántica.,"Integración de fuentes, preparación de datos, representaciones semánticas, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con recuperación semántica.",recuperación semántica,FAC-006,PRG-017,GRP-020,2024,2025,trabajos de grado;representaciones semánticas;recuperación semántica,Física,INTERNAL,
PRJ-028,Estrategia basada en recuperación de información para estudiar research similarity,APPLIED_RESEARCH,ACTIVE,La información sobre research similarity se encuentra distribuida y existen dificultades para relacionarla con antecedentes investigativos de manera verificable.,"Proyecto orientado a estudiar research similarity y su relación con antecedentes investigativos, integrando evidencia institucional y un enfoque de recuperación de información.",Desarrollar y evaluar un enfoque de recuperación de información que permita analizar research similarity y generar evidencia útil para antecedentes investigativos.,"Integración de fuentes, preparación de datos, recuperación de información, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con antecedentes investigativos.",antecedentes investigativos,FAC-006,PRG-018,GRP-021,2025,2026,research similarity;recuperación de información;antecedentes investigativos,Ciencia de Datos,INTERNAL,
PRJ-029,Análisis aplicado de recuperación semántica para fortalecer similitud conceptual,INSTITUTIONAL,COMPLETED,La información sobre recuperación semántica se encuentra distribuida y existen dificultades para relacionarla con similitud conceptual de manera verificable.,"Proyecto orientado a estudiar recuperación semántica y su relación con similitud conceptual, integrando evidencia institucional y un enfoque de NLP.",Desarrollar y evaluar un enfoque de NLP que permita analizar recuperación semántica y generar evidencia útil para similitud conceptual.,"Integración de fuentes, preparación de datos, NLP, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con similitud conceptual.",similitud conceptual,FAC-006,PRG-017,GRP-020,2026,,recuperación semántica;NLP;similitud conceptual,Física,PUBLIC_CALL,
PRJ-030,Modelo institucional para antecedentes investigativos y su relación con trabajos de grado,APPLIED_RESEARCH,COMPLETED,La información sobre antecedentes investigativos se encuentra distribuida y existen dificultades para relacionarla con trabajos de grado de manera verificable.,"Proyecto orientado a estudiar antecedentes investigativos y su relación con trabajos de grado, integrando evidencia institucional y un enfoque de representaciones semánticas.",Desarrollar y evaluar un enfoque de representaciones semánticas que permita analizar antecedentes investigativos y generar evidencia útil para trabajos de grado.,"Integración de fuentes, preparación de datos, representaciones semánticas, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con trabajos de grado.",trabajos de grado,FAC-006,PRG-016,GRP-020,2018,2019,antecedentes investigativos;representaciones semánticas;trabajos de grado,Matemáticas Aplicadas,EXTERNAL_PARTNER,
PRJ-031,Integración de evidencia sobre similitud conceptual en escenarios de research similarity,INSTITUTIONAL,ACTIVE,La información sobre similitud conceptual se encuentra distribuida y existen dificultades para relacionarla con research similarity de manera verificable.,"Proyecto orientado a estudiar similitud conceptual y su relación con research similarity, integrando evidencia institucional y un enfoque de recuperación de información.",Desarrollar y evaluar un enfoque de recuperación de información que permita analizar similitud conceptual y generar evidencia útil para research similarity.,"Integración de fuentes, preparación de datos, recuperación de información, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con research similarity.",research similarity,FAC-006,PRG-016,GRP-021,2019,2020,,Matemáticas Aplicadas,INTERNAL,
PRJ-032,Trabajos De Grado: an applied study for recuperación semántica,APPLIED_RESEARCH,FORMULATION,"Existing information about trabajos de grado is fragmented across academic and institutional sources, limiting timely analysis.","This project investigates trabajos de grado in relation to recuperación semántica, using NLP. It focuses on institutional evidence and reproducible decision support.",Develop and evaluate an approach based on NLP to connect evidence related to trabajos de grado and recuperación semántica.,"Applied study combining data integration, NLP, validation and traceable analysis.","Expected outputs include validated evidence, prioritized findings and a reproducible analytical component.",recuperación semántica,FAC-006,PRG-016,GRP-019,2020,2021,trabajos de grado;NLP;recuperación semántica,Matemáticas Aplicadas,INTERNAL,
PRJ-033,Análisis aplicado de monitoreo cardiovascular para fortalecer wearables,INSTITUTIONAL,COMPLETED,La información sobre monitoreo cardiovascular se encuentra distribuida y existen dificultades para relacionarla con wearables de manera verificable.,"Proyecto orientado a estudiar monitoreo cardiovascular y su relación con wearables, integrando evidencia institucional y un enfoque de procesamiento de señales.",Desarrollar y evaluar un enfoque de procesamiento de señales que permita analizar monitoreo cardiovascular y generar evidencia útil para wearables.,"Integración de fuentes, preparación de datos, procesamiento de señales, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con wearables.",wearables,FAC-002,PRG-005,GRP-007,2023,2024,monitoreo cardiovascular;procesamiento de señales;wearables,Enfermería,PUBLIC_CALL,
PRJ-034,Modelo institucional para ECG y su relación con telemonitoring,APPLIED_RESEARCH,COMPLETED,La información sobre ECG se encuentra distribuida y existen dificultades para relacionarla con telemonitoring de manera verificable.,"Proyecto orientado a estudiar ECG y su relación con telemonitoring, integrando evidencia institucional y un enfoque de IoT.",Desarrollar y evaluar un enfoque de IoT que permita analizar ECG y generar evidencia útil para telemonitoring.,"Integración de fuentes, preparación de datos, IoT, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con telemonitoring.",telemonitoring,FAC-002,PRG-005,GRP-007,2024,2025,ECG;IoT;telemonitoring,Enfermería,EXTERNAL_PARTNER,
PRJ-035,Integración de evidencia sobre wearables en escenarios de señales fisiológicas,INSTITUTIONAL,ACTIVE,La información sobre wearables se encuentra distribuida y existen dificultades para relacionarla con señales fisiológicas de manera verificable.,"Proyecto orientado a estudiar wearables y su relación con señales fisiológicas, integrando evidencia institucional y un enfoque de clasificación.",Desarrollar y evaluar un enfoque de clasificación que permita analizar wearables y generar evidencia útil para señales fisiológicas.,"Integración de fuentes, preparación de datos, clasificación, análisis comparativo y validación de resultados.","Se esperan relaciones priorizadas, evidencia reproducible y orientaciones para decisiones relacionadas con señales fisiológicas.",señales fisiológicas,FAC-002,PRG-005,GRP-006,2025,2026,wearables;clasificación;señales fisiológicas,Enfermería,INTERNAL,
