publication_id,researcher_id,role
PUB-085,INV-143,AUTHOR
PUB-085,INV-137,AUTHOR
PUB-086,INV-150,AUTHOR
PUB-086,INV-135,AUTHOR
PUB-087,INV-137,AUTHOR
PUB-087,INV-141,AUTHOR
PUB-088,INV-153,AUTHOR
PUB-088,INV-140,AUTHOR
PUB-089,INV-141,AUTHOR
PUB-089,INV-129,AUTHOR
PUB-090,INV-134,AUTHOR
PUB-090,INV-135,AUTHOR
PUB-091,INV-142,AUTHOR
PUB-091,INV-144,AUTHOR
PUB-092,INV-131,AUTHOR
PUB-092,INV-137,AUTHOR
PUB-093,INV-128,AUTHOR
PUB-093,INV-142,AUTHOR
PUB-094,INV-153,AUTHOR
PUB-094,INV-134,AUTHOR
PUB-095,INV-135,AUTHOR
PUB-095,INV-154,AUTHOR
PUB-096,INV-130,AUTHOR
PUB-096,INV-149,AUTHOR
PUB-097,INV-139,AUTHOR
PUB-097,INV-149,AUTHOR
PUB-098,INV-139,AUTHOR
PUB-098,INV-149,AUTHOR
PUB-099,INV-141,AUTHOR
PUB-099,INV-143,AUTHOR
PUB-100,INV-152,AUTHOR
PUB-100,INV-136,AUTHOR
PUB-101,INV-149,AUTHOR
PUB-101,INV-133,AUTHOR
PUB-102,INV-132,AUTHOR
PUB-102,INV-146,AUTHOR
PUB-103,INV-146,AUTHOR
PUB-103,INV-147,AUTHOR
PUB-104,INV-145,AUTHOR
PUB-104,INV-148,AUTHOR
PUB-105,INV-130,AUTHOR
PUB-105,INV-145,AUTHOR
PUB-106,INV-141,AUTHOR
PUB-106,INV-146,AUTHOR
PUB-107,INV-132,AUTHOR
PUB-107,INV-148,AUTHOR
PUB-108,INV-144,AUTHOR
PUB-108,INV-136,AUTHOR
PUB-109,INV-144,AUTHOR
PUB-109,INV-134,AUTHOR
PUB-110,INV-148,AUTHOR
PUB-110,INV-136,AUTHOR
PUB-111,INV-180,AUTHOR
PUB-111,INV-157,AUTHOR
PUB-112,INV-180,AUTHOR
PUB-112,INV-173,AUTHOR
PUB-113,INV-180,AUTHOR
PUB-113,INV-167,AUTHOR
PUB-114,INV-167,AUTHOR
PUB-114,INV-156,AUTHOR
PUB-115,INV-166,AUTHOR
PUB-115,INV-179,AUTHOR
PUB-116,INV-177,AUTHOR
PUB-116,INV-157,AUTHOR
PUB-117,INV-166,AUTHOR
PUB-117,INV-172,AUTHOR
PUB-118,INV-169,AUTHOR
PUB-118,INV-170,AUTHOR
PUB-119,INV-156,AUTHOR
PUB-119,INV-166,AUTHOR
PUB-120,INV-167,AUTHOR
PUB-120,INV-174,AUTHOR
PUB-121,INV-095,AUTHOR
PUB-121,INV-097,AUTHOR
PUB-122,INV-088,AUTHOR
PUB-122,INV-086,AUTHOR
PUB-123,INV-092,AUTHOR
PUB-123,INV-084,AUTHOR
PUB-124,INV-084,AUTHOR
PUB-124,INV-080,AUTHOR
PUB-125,INV-083,AUTHOR
PUB-125,INV-080,AUTHOR
PUB-126,INV-090,AUTHOR
PUB-126,INV-098,AUTHOR
PUB-127,INV-076,AUTHOR
PUB-127,INV-087,AUTHOR
PUB-128,INV-099,AUTHOR
PUB-128,INV-096,AUTHOR
PUB-129,INV-086,AUTHOR
PUB-129,INV-098,AUTHOR
PUB-130,INV-091,AUTHOR
PUB-130,INV-080,AUTHOR
PUB-131,INV-089,AUTHOR
PUB-131,INV-074,AUTHOR
PUB-132,INV-099,AUTHOR
PUB-132,INV-084,AUTHOR
PUB-133,INV-078,AUTHOR
PUB-133,INV-096,AUTHOR
PUB-134,INV-077,AUTHOR
PUB-134,INV-090,AUTHOR
PUB-135,INV-081,AUTHOR
PUB-135,INV-083,AUTHOR
PUB-136,INV-094,AUTHOR
PUB-136,INV-087,AUTHOR
PUB-137,INV-080,AUTHOR
PUB-137,INV-098,AUTHOR
PUB-138,INV-095,AUTHOR
PUB-138,INV-082,AUTHOR
PUB-139,INV-080,AUTHOR
PUB-139,INV-095,AUTHOR
PUB-140,INV-086,AUTHOR
PUB-140,INV-075,AUTHOR
PUB-141,INV-029,AUTHOR
PUB-141,INV-034,AUTHOR
PUB-142,INV-009,AUTHOR
PUB-142,INV-019,AUTHOR
PUB-143,INV-012,AUTHOR
PUB-143,INV-035,AUTHOR
PUB-144,INV-013,AUTHOR
PUB-144,INV-010,AUTHOR
PUB-145,INV-029,AUTHOR
PUB-145,INV-004,AUTHOR
PUB-146,INV-025,AUTHOR
PUB-146,INV-022,AUTHOR
PUB-147,INV-041,AUTHOR
PUB-147,INV-032,AUTHOR
PUB-148,INV-016,AUTHOR
PUB-148,INV-030,AUTHOR
PUB-149,INV-040,AUTHOR
PUB-149,INV-017,AUTHOR
PUB-150,INV-024,AUTHOR
PUB-150,INV-005,AUTHOR
PUB-151,INV-029,AUTHOR
PUB-151,INV-033,AUTHOR
PUB-152,INV-026,AUTHOR
PUB-152,INV-034,AUTHOR
PUB-153,INV-031,AUTHOR
PUB-153,INV-042,AUTHOR
PUB-154,INV-031,AUTHOR
PUB-154,INV-030,AUTHOR
PUB-155,INV-028,AUTHOR
PUB-155,INV-026,AUTHOR
PUB-156,INV-030,AUTHOR
PUB-156,INV-040,AUTHOR
PUB-157,INV-027,AUTHOR
PUB-157,INV-039,AUTHOR
PUB-158,INV-007,AUTHOR
PUB-158,INV-021,AUTHOR
PUB-159,INV-010,AUTHOR
PUB-159,INV-042,AUTHOR
PUB-160,INV-027,AUTHOR
PUB-160,INV-013,AUTHOR
PUB-161,INV-033,AUTHOR
PUB-161,INV-007,AUTHOR
PUB-162,INV-004,AUTHOR
PUB-162,INV-021,AUTHOR
PUB-163,INV-029,AUTHOR
PUB-163,INV-012,AUTHOR
PUB-164,INV-041,AUTHOR
PUB-164,INV-028,AUTHOR
PUB-165,INV-006,AUTHOR
PUB-165,INV-009,AUTHOR
PUB-166,INV-032,AUTHOR
PUB-166,INV-016,AUTHOR
PUB-167,INV-033,AUTHOR
PUB-167,INV-040,AUTHOR
PUB-168,INV-022,AUTHOR
PUB-168,INV-035,AUTHOR
PUB-169,INV-039,AUTHOR
PUB-169,INV-029,AUTHOR
PUB-170,INV-020,AUTHOR
PUB-170,INV-037,AUTHOR
PUB-171,INV-177,AUTHOR
PUB-171,INV-163,AUTHOR
PUB-172,INV-179,AUTHOR
PUB-172,INV-176,AUTHOR
PUB-173,INV-179,AUTHOR
PUB-173,INV-176,AUTHOR
PUB-174,INV-180,AUTHOR
PUB-174,INV-175,AUTHOR
PUB-175,INV-157,AUTHOR
PUB-175,INV-166,AUTHOR
PUB-176,INV-158,AUTHOR
PUB-176,INV-174,AUTHOR
PUB-177,INV-169,AUTHOR
PUB-177,INV-171,AUTHOR
PUB-178,INV-178,AUTHOR
PUB-178,INV-170,AUTHOR
PUB-179,INV-167,AUTHOR
PUB-179,INV-160,AUTHOR
PUB-180,INV-173,AUTHOR
PUB-180,INV-171,AUTHOR
PUB-181,INV-079,AUTHOR
PUB-181,INV-080,AUTHOR
PUB-182,INV-074,AUTHOR
PUB-182,INV-075,AUTHOR
PUB-183,INV-084,AUTHOR
PUB-183,INV-089,AUTHOR
PUB-184,INV-075,AUTHOR
PUB-184,INV-077,AUTHOR
PUB-185,INV-080,AUTHOR
PUB-185,INV-081,AUTHOR
PUB-186,INV-078,AUTHOR
PUB-186,INV-091,AUTHOR
PUB-187,INV-095,AUTHOR
PUB-187,INV-077,AUTHOR
PUB-188,INV-094,AUTHOR
PUB-188,INV-074,AUTHOR
PUB-189,INV-080,AUTHOR
PUB-189,INV-075,AUTHOR
PUB-190,INV-085,AUTHOR
PUB-190,INV-082,AUTHOR
PUB-191,INV-139,AUTHOR
PUB-191,INV-131,AUTHOR
PUB-192,INV-137,AUTHOR
PUB-192,INV-146,AUTHOR
PUB-193,INV-150,AUTHOR
PUB-193,INV-154,AUTHOR
PUB-194,INV-128,AUTHOR
PUB-194,INV-147,AUTHOR
PUB-195,INV-133,AUTHOR
PUB-195,INV-130,AUTHOR
PUB-196,INV-150,AUTHOR
PUB-196,INV-130,AUTHOR
PUB-197,INV-130,AUTHOR
PUB-197,INV-148,AUTHOR
PUB-198,INV-140,AUTHOR
PUB-198,INV-129,AUTHOR
PUB-199,INV-152,AUTHOR
PUB-199,INV-130,AUTHOR
PUB-200,INV-148,AUTHOR
PUB-200,INV-129,AUTHOR
PUB-201,INV-015,AUTHOR
PUB-201,INV-038,AUTHOR
PUB-202,INV-062,AUTHOR
PUB-202,INV-043,AUTHOR
PUB-203,INV-095,AUTHOR
PUB-203,INV-099,AUTHOR
PUB-204,INV-117,AUTHOR
PUB-204,INV-119,AUTHOR
PUB-205,INV-136,AUTHOR
PUB-205,INV-154,AUTHOR
PUB-206,INV-165,AUTHOR
PUB-206,INV-162,AUTHOR
PUB-207,INV-029,AUTHOR
PUB-207,INV-033,AUTHOR
PUB-208,INV-073,AUTHOR
PUB-208,INV-052,AUTHOR
PUB-209,INV-093,AUTHOR
PUB-209,INV-079,AUTHOR
PUB-210,INV-122,AUTHOR
PUB-210,INV-112,AUTHOR
PUB-211,INV-132,AUTHOR
PUB-211,INV-146,AUTHOR
PUB-212,INV-173,AUTHOR
PUB-212,INV-159,AUTHOR
PUB-213,INV-012,AUTHOR
PUB-213,INV-007,AUTHOR
PUB-214,INV-046,AUTHOR
PUB-214,INV-070,AUTHOR
PUB-215,INV-090,AUTHOR
PUB-215,INV-076,AUTHOR
PUB-216,INV-119,AUTHOR
PUB-216,INV-101,AUTHOR
PUB-217,INV-133,AUTHOR
PUB-217,INV-152,AUTHOR
PUB-218,INV-158,AUTHOR
PUB-218,INV-168,AUTHOR
PUB-219,INV-007,AUTHOR
PUB-219,INV-028,AUTHOR
PUB-220,INV-065,AUTHOR
PUB-220,INV-057,AUTHOR
PUB-221,INV-089,AUTHOR
PUB-221,INV-096,AUTHOR
PUB-222,INV-101,AUTHOR
PUB-222,INV-105,AUTHOR
PUB-223,INV-134,AUTHOR
PUB-223,INV-150,AUTHOR
PUB-224,INV-160,AUTHOR
PUB-224,INV-167,AUTHOR
PUB-225,INV-038,AUTHOR
PUB-225,INV-002,AUTHOR
PUB-226,INV-047,AUTHOR
PUB-226,INV-048,AUTHOR
PUB-227,INV-086,AUTHOR
PUB-227,INV-095,AUTHOR
PUB-228,INV-111,AUTHOR
PUB-228,INV-101,AUTHOR
PUB-229,INV-143,AUTHOR
PUB-229,INV-136,AUTHOR
PUB-230,INV-175,AUTHOR
PUB-230,INV-157,AUTHOR
PUB-231,INV-009,AUTHOR
PUB-231,INV-025,AUTHOR
PUB-232,INV-065,AUTHOR
PUB-232,INV-067,AUTHOR
PUB-233,INV-086,AUTHOR
PUB-233,INV-089,AUTHOR
PUB-234,INV-107,AUTHOR
PUB-234,INV-106,AUTHOR
PUB-235,INV-130,AUTHOR
PUB-235,INV-133,AUTHOR
PUB-236,INV-156,AUTHOR
PUB-236,INV-164,AUTHOR
PUB-237,INV-001,AUTHOR
PUB-237,INV-038,AUTHOR
PUB-238,INV-043,AUTHOR
PUB-238,INV-044,AUTHOR
PUB-239,INV-092,AUTHOR
PUB-239,INV-081,AUTHOR
PUB-240,INV-109,AUTHOR
PUB-240,INV-118,AUTHOR
PUB-241,INV-153,AUTHOR
PUB-241,INV-144,AUTHOR
PUB-242,INV-171,AUTHOR
PUB-242,INV-166,AUTHOR
PUB-243,INV-039,AUTHOR
PUB-243,INV-020,AUTHOR
PUB-244,INV-064,AUTHOR
PUB-244,INV-068,AUTHOR
PUB-245,INV-095,AUTHOR
PUB-245,INV-087,AUTHOR
PUB-246,INV-119,AUTHOR
PUB-246,INV-106,AUTHOR
PUB-247,INV-146,AUTHOR
PUB-247,INV-133,AUTHOR
PUB-248,INV-174,AUTHOR
PUB-248,INV-163,AUTHOR
PUB-249,INV-032,AUTHOR
PUB-249,INV-012,AUTHOR
PUB-250,INV-064,AUTHOR
PUB-250,INV-059,AUTHOR
PUB-251,INV-081,AUTHOR
PUB-251,INV-097,AUTHOR
PUB-252,INV-111,AUTHOR
PUB-252,INV-108,AUTHOR
PUB-253,INV-143,AUTHOR
PUB-253,INV-132,AUTHOR
PUB-254,INV-159,AUTHOR
PUB-254,INV-160,AUTHOR
PUB-255,INV-010,AUTHOR
PUB-255,INV-034,AUTHOR
PUB-256,INV-066,AUTHOR
PUB-256,INV-055,AUTHOR
PUB-257,INV-075,AUTHOR
PUB-257,INV-090,AUTHOR
PUB-258,INV-118,AUTHOR
PUB-258,INV-120,AUTHOR
PUB-259,INV-144,AUTHOR
PUB-259,INV-154,AUTHOR
PUB-260,INV-160,AUTHOR
PUB-260,INV-158,AUTHOR
PUB-261,INV-035,AUTHOR
PUB-261,INV-041,AUTHOR
PUB-262,INV-054,AUTHOR
PUB-262,INV-071,AUTHOR
PUB-263,INV-075,AUTHOR
PUB-263,INV-079,AUTHOR
PUB-264,INV-124,AUTHOR
PUB-264,INV-101,AUTHOR
PUB-265,INV-129,AUTHOR
PUB-265,INV-154,AUTHOR
PUB-266,INV-175,AUTHOR
PUB-266,INV-173,AUTHOR
PUB-267,INV-041,AUTHOR
PUB-267,INV-007,AUTHOR
PUB-268,INV-048,AUTHOR
PUB-268,INV-044,AUTHOR
PUB-269,INV-083,AUTHOR
PUB-269,INV-093,AUTHOR
PUB-270,INV-117,AUTHOR
PUB-270,INV-119,AUTHOR
PUB-271,INV-140,AUTHOR
PUB-271,INV-147,AUTHOR
PUB-272,INV-169,AUTHOR
PUB-272,INV-164,AUTHOR
PUB-273,INV-026,AUTHOR
PUB-273,INV-002,AUTHOR
PUB-274,INV-043,AUTHOR
PUB-274,INV-071,AUTHOR
PUB-275,INV-085,AUTHOR
PUB-275,INV-094,AUTHOR
PUB-276,INV-114,AUTHOR
PUB-276,INV-107,AUTHOR
PUB-277,INV-152,AUTHOR
PUB-277,INV-129,AUTHOR
PUB-278,INV-158,AUTHOR
PUB-278,INV-164,AUTHOR
PUB-279,INV-010,AUTHOR
PUB-279,INV-013,AUTHOR
PUB-280,INV-065,AUTHOR
PUB-280,INV-050,AUTHOR
PUB-281,INV-080,AUTHOR
PUB-281,INV-075,AUTHOR
PUB-282,INV-120,AUTHOR
PUB-282,INV-109,AUTHOR
PUB-283,INV-139,AUTHOR
PUB-283,INV-145,AUTHOR
PUB-284,INV-169,AUTHOR
PUB-284,INV-170,AUTHOR
PUB-285,INV-009,AUTHOR
PUB-285,INV-028,AUTHOR
PUB-286,INV-052,AUTHOR
PUB-286,INV-072,AUTHOR
PUB-287,INV-092,AUTHOR
PUB-287,INV-086,AUTHOR
PUB-288,INV-118,AUTHOR
PUB-288,INV-123,AUTHOR
PUB-289,INV-138,AUTHOR
PUB-289,INV-151,AUTHOR
PUB-290,INV-174,AUTHOR
PUB-290,INV-175,AUTHOR
PUB-291,INV-020,AUTHOR
PUB-291,INV-035,AUTHOR
PUB-292,INV-044,AUTHOR
PUB-292,INV-055,AUTHOR
PUB-293,INV-090,AUTHOR
PUB-293,INV-077,AUTHOR
PUB-294,INV-122,AUTHOR
PUB-294,INV-119,AUTHOR
PUB-295,INV-128,AUTHOR
PUB-295,INV-137,AUTHOR
PUB-296,INV-162,AUTHOR
PUB-296,INV-177,AUTHOR
PUB-297,INV-041,AUTHOR
PUB-297,INV-013,AUTHOR
PUB-298,INV-059,AUTHOR
PUB-298,INV-069,AUTHOR
PUB-299,INV-091,AUTHOR
PUB-299,INV-090,AUTHOR
PUB-300,INV-108,AUTHOR
PUB-300,INV-120,AUTHOR
PUB-301,INV-130,AUTHOR
PUB-301,INV-154,AUTHOR
PUB-302,INV-163,AUTHOR
PUB-302,INV-180,AUTHOR
PUB-303,INV-027,AUTHOR
PUB-303,INV-009,AUTHOR
PUB-304,INV-055,AUTHOR
PUB-304,INV-062,AUTHOR
PUB-305,INV-094,AUTHOR
PUB-305,INV-096,AUTHOR
PUB-306,INV-106,AUTHOR
PUB-306,INV-110,AUTHOR
PUB-307,INV-148,AUTHOR
PUB-307,INV-146,AUTHOR
PUB-308,INV-173,AUTHOR
PUB-308,INV-165,AUTHOR
PUB-309,INV-042,AUTHOR
PUB-309,INV-035,AUTHOR
PUB-310,INV-073,AUTHOR
PUB-310,INV-061,AUTHOR
PUB-311,INV-087,AUTHOR
PUB-311,INV-096,AUTHOR
PUB-312,INV-115,AUTHOR
PUB-312,INV-116,AUTHOR
PUB-313,INV-139,AUTHOR
PUB-313,INV-133,AUTHOR
PUB-314,INV-176,AUTHOR
PUB-314,INV-166,AUTHOR
PUB-315,INV-014,AUTHOR
PUB-315,INV-042,AUTHOR
PUB-316,INV-056,AUTHOR
PUB-316,INV-051,AUTHOR
PUB-317,INV-094,AUTHOR
PUB-317,INV-080,AUTHOR
PUB-318,INV-102,AUTHOR
PUB-318,INV-125,AUTHOR
PUB-319,INV-131,AUTHOR
PUB-319,INV-129,AUTHOR
PUB-320,INV-176,AUTHOR
PUB-320,INV-165,AUTHOR
PUB-321,INV-033,AUTHOR
PUB-321,INV-019,AUTHOR
PUB-322,INV-049,AUTHOR
PUB-322,INV-072,AUTHOR
PUB-323,INV-084,AUTHOR
PUB-323,INV-081,AUTHOR
PUB-324,INV-120,AUTHOR
PUB-324,INV-106,AUTHOR
PUB-325,INV-134,AUTHOR
PUB-325,INV-150,AUTHOR
PUB-326,INV-176,AUTHOR
PUB-326,INV-170,AUTHOR
PUB-327,INV-026,AUTHOR
PUB-327,INV-003,AUTHOR
PUB-328,INV-059,AUTHOR
PUB-328,INV-053,AUTHOR
PUB-329,INV-092,AUTHOR
PUB-329,INV-098,AUTHOR
PUB-330,INV-116,AUTHOR
PUB-330,INV-121,AUTHOR
PUB-331,INV-129,AUTHOR
PUB-331,INV-150,AUTHOR
PUB-332,INV-162,AUTHOR
PUB-332,INV-165,AUTHOR
PUB-333,INV-031,AUTHOR
PUB-333,INV-036,AUTHOR
PUB-334,INV-072,AUTHOR
PUB-334,INV-051,AUTHOR
PUB-335,INV-093,AUTHOR
PUB-335,INV-090,AUTHOR
PUB-336,INV-125,AUTHOR
PUB-336,INV-104,AUTHOR
PUB-337,INV-149,AUTHOR
PUB-337,INV-136,AUTHOR
PUB-338,INV-159,AUTHOR
PUB-338,INV-161,AUTHOR
PUB-339,INV-027,AUTHOR
PUB-339,INV-015,AUTHOR
PUB-340,INV-061,AUTHOR
PUB-340,INV-060,AUTHOR
PUB-341,INV-080,AUTHOR
PUB-341,INV-085,AUTHOR
PUB-342,INV-126,AUTHOR
PUB-342,INV-122,AUTHOR
PUB-343,INV-152,AUTHOR
PUB-343,INV-150,AUTHOR
PUB-344,INV-162,AUTHOR
PUB-344,INV-165,AUTHOR
PUB-345,INV-031,AUTHOR
PUB-345,INV-024,AUTHOR
PUB-346,INV-066,AUTHOR
PUB-346,INV-049,AUTHOR
PUB-347,INV-099,AUTHOR
PUB-347,INV-091,AUTHOR
PUB-348,INV-127,AUTHOR
PUB-348,INV-122,AUTHOR
PUB-349,INV-138,AUTHOR
PUB-349,INV-143,AUTHOR
PUB-350,INV-168,AUTHOR
PUB-350,INV-159,AUTHOR
PUB-351,INV-010,AUTHOR
PUB-351,INV-031,AUTHOR
PUB-352,INV-066,AUTHOR
PUB-352,INV-047,AUTHOR
PUB-353,INV-093,AUTHOR
PUB-353,INV-099,AUTHOR
PUB-354,INV-101,AUTHOR
PUB-354,INV-124,AUTHOR
PUB-355,INV-154,AUTHOR
PUB-355,INV-136,AUTHOR
PUB-356,INV-162,AUTHOR
PUB-356,INV-159,AUTHOR
PUB-357,INV-018,AUTHOR
PUB-357,INV-010,AUTHOR
PUB-358,INV-052,AUTHOR
PUB-358,INV-055,AUTHOR
PUB-359,INV-094,AUTHOR
PUB-359,INV-089,AUTHOR
PUB-360,INV-101,AUTHOR
PUB-360,INV-118,AUTHOR
