thesis_id,title,abstract,problem_statement,general_objective,methodology,main_results,conclusions,program_id,graduation_year,keywords,status,repository_reference,research_area,application_context,data_or_population
THS-020,Acompañamiento Temprano and permanencia estudiantil: a university case study,"This thesis examines acompañamiento temprano through modelos longitudinales, with emphasis on permanencia estudiantil and evidence available in an institutional context.",Current approaches provide incomplete understanding of acompañamiento temprano and its implications for permanencia estudiantil.,Evaluate modelos longitudinales for analyzing acompañamiento temprano in relation to permanencia estudiantil.,"Data preparation, modelos longitudinales, validation and interpretation.",The study identifies patterns and limitations relevant to permanencia estudiantil.,The approach is useful under defined conditions and requires contextual validation.,PRG-010,2017,acompañamiento temprano;permanencia estudiantil;modelos longitudinales,APPROVED,repo://thesis/020,Licenciatura en Tecnología e Informática,permanencia estudiantil,synthetic institutional data
THS-021,Caracterización de aprendizaje adaptativo en relación con personalización,"Trabajo de grado que analiza aprendizaje adaptativo mediante analítica educativa, considerando su relación con personalización en un contexto universitario o aplicado.",Existe conocimiento disperso sobre aprendizaje adaptativo y no siempre se comprende su relación con personalización.,Analizar aprendizaje adaptativo mediante analítica educativa para producir evidencia sobre personalización.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender personalización.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2019,aprendizaje adaptativo;personalización;analítica educativa,APPROVED,repo://thesis/021,Licenciatura en Tecnología e Informática,personalización,synthetic institutional data
THS-022,Evaluación de modelamiento de usuarios para analizar personalización,"Trabajo de grado que analiza personalización mediante modelamiento de usuarios, considerando su relación con secuencias de aprendizaje en un contexto universitario o aplicado.",Existe conocimiento disperso sobre personalización y no siempre se comprende su relación con secuencias de aprendizaje.,Analizar personalización mediante modelamiento de usuarios para producir evidencia sobre secuencias de aprendizaje.,"Revisión de antecedentes, preparación de datos, modelamiento de usuarios y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender secuencias de aprendizaje.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2020,personalización;secuencias de aprendizaje;modelamiento de usuarios,APPROVED,repo://thesis/022,Ciencias de la Educación,secuencias de aprendizaje,synthetic institutional data
THS-023,Modelo aplicado para el estudio de secuencias de aprendizaje,"Trabajo de grado que analiza secuencias de aprendizaje mediante sistemas recomendadores, considerando su relación con learning analytics en un contexto universitario o aplicado.",Existe conocimiento disperso sobre secuencias de aprendizaje y no siempre se comprende su relación con learning analytics.,Analizar secuencias de aprendizaje mediante sistemas recomendadores para producir evidencia sobre learning analytics.,"Revisión de antecedentes, preparación de datos, sistemas recomendadores y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender learning analytics.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2021,secuencias de aprendizaje;learning analytics;sistemas recomendadores,APPROVED,repo://thesis/023,Ciencias de la Educación,learning analytics,synthetic institutional data
THS-024,Análisis de patrones asociados con perfil del estudiante,"Trabajo de grado que analiza learning analytics mediante analítica educativa, considerando su relación con perfil del estudiante en un contexto universitario o aplicado.",Existe conocimiento disperso sobre learning analytics y no siempre se comprende su relación con perfil del estudiante.,Analizar learning analytics mediante analítica educativa para producir evidencia sobre perfil del estudiante.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender perfil del estudiante.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2022,learning analytics;perfil del estudiante;analítica educativa,APPROVED,repo://thesis/024,Psicología,perfil del estudiante,synthetic institutional data
THS-025,Caracterización de perfil del estudiante en relación con aprendizaje adaptativo,"Trabajo de grado que analiza perfil del estudiante mediante modelamiento de usuarios, considerando su relación con aprendizaje adaptativo en un contexto universitario o aplicado.",Existe conocimiento disperso sobre perfil del estudiante y no siempre se comprende su relación con aprendizaje adaptativo.,Analizar perfil del estudiante mediante modelamiento de usuarios para producir evidencia sobre aprendizaje adaptativo.,"Revisión de antecedentes, preparación de datos, modelamiento de usuarios y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender aprendizaje adaptativo.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2023,perfil del estudiante;aprendizaje adaptativo;modelamiento de usuarios,APPROVED,repo://thesis/025,Psicología,aprendizaje adaptativo,synthetic institutional data
THS-026,Evaluación de sistemas recomendadores para analizar aprendizaje adaptativo,"Trabajo de grado que analiza aprendizaje adaptativo mediante sistemas recomendadores, considerando su relación con personalización en un contexto universitario o aplicado.",Existe conocimiento disperso sobre aprendizaje adaptativo y no siempre se comprende su relación con personalización.,Analizar aprendizaje adaptativo mediante sistemas recomendadores para producir evidencia sobre personalización.,"Revisión de antecedentes, preparación de datos, sistemas recomendadores y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender personalización.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2024,aprendizaje adaptativo;personalización;sistemas recomendadores,APPROVED,repo://thesis/026,Ciencias de la Educación,personalización,synthetic institutional data
THS-027,Modelo aplicado para el estudio de personalización,"Trabajo de grado que analiza personalización mediante analítica educativa, considerando su relación con secuencias de aprendizaje en un contexto universitario o aplicado.",Existe conocimiento disperso sobre personalización y no siempre se comprende su relación con secuencias de aprendizaje.,Analizar personalización mediante analítica educativa para producir evidencia sobre secuencias de aprendizaje.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender secuencias de aprendizaje.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2025,personalización;secuencias de aprendizaje;analítica educativa,APPROVED,repo://thesis/027,Licenciatura en Tecnología e Informática,secuencias de aprendizaje,synthetic institutional data
THS-028,Análisis de patrones asociados con learning analytics,"Trabajo de grado que analiza secuencias de aprendizaje mediante modelamiento de usuarios, considerando su relación con learning analytics en un contexto universitario o aplicado.",Existe conocimiento disperso sobre secuencias de aprendizaje y no siempre se comprende su relación con learning analytics.,Analizar secuencias de aprendizaje mediante modelamiento de usuarios para producir evidencia sobre learning analytics.,"Revisión de antecedentes, preparación de datos, modelamiento de usuarios y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender learning analytics.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2026,secuencias de aprendizaje;learning analytics;modelamiento de usuarios,APPROVED,repo://thesis/028,Licenciatura en Tecnología e Informática,learning analytics,synthetic institutional data
THS-029,Caracterización de learning analytics en relación con perfil del estudiante,"Trabajo de grado que analiza learning analytics mediante sistemas recomendadores, considerando su relación con perfil del estudiante en un contexto universitario o aplicado.",Existe conocimiento disperso sobre learning analytics y no siempre se comprende su relación con perfil del estudiante.,Analizar learning analytics mediante sistemas recomendadores para producir evidencia sobre perfil del estudiante.,"Revisión de antecedentes, preparación de datos, sistemas recomendadores y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender perfil del estudiante.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2017,,APPROVED,repo://thesis/029,Ciencias de la Educación,perfil del estudiante,synthetic institutional data
THS-030,Perfil Del Estudiante and aprendizaje adaptativo: a university case study,"This thesis examines perfil del estudiante through analítica educativa, with emphasis on aprendizaje adaptativo and evidence available in an institutional context.",Current approaches provide incomplete understanding of perfil del estudiante and its implications for aprendizaje adaptativo.,Evaluate analítica educativa for analyzing perfil del estudiante in relation to aprendizaje adaptativo.,"Data preparation, analítica educativa, validation and interpretation.",The study identifies patterns and limitations relevant to aprendizaje adaptativo.,The approach is useful under defined conditions and requires contextual validation.,PRG-011,2018,perfil del estudiante;aprendizaje adaptativo;analítica educativa,APPROVED,repo://thesis/030,Psicología,aprendizaje adaptativo,synthetic institutional data
THS-031,Modelo aplicado para el estudio de aprendizaje adaptativo,"Trabajo de grado que analiza aprendizaje adaptativo mediante modelamiento de usuarios, considerando su relación con personalización en un contexto universitario o aplicado.",Existe conocimiento disperso sobre aprendizaje adaptativo y no siempre se comprende su relación con personalización.,Analizar aprendizaje adaptativo mediante modelamiento de usuarios para producir evidencia sobre personalización.,"Revisión de antecedentes, preparación de datos, modelamiento de usuarios y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender personalización.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2019,aprendizaje adaptativo;personalización;modelamiento de usuarios,APPROVED,repo://thesis/031,Ciencias de la Educación,personalización,synthetic institutional data
THS-032,Análisis de patrones asociados con secuencias de aprendizaje,"Trabajo de grado que analiza personalización mediante sistemas recomendadores, considerando su relación con secuencias de aprendizaje en un contexto universitario o aplicado.",Existe conocimiento disperso sobre personalización y no siempre se comprende su relación con secuencias de aprendizaje.,Analizar personalización mediante sistemas recomendadores para producir evidencia sobre secuencias de aprendizaje.,"Revisión de antecedentes, preparación de datos, sistemas recomendadores y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender secuencias de aprendizaje.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2020,personalización;secuencias de aprendizaje;sistemas recomendadores,APPROVED,repo://thesis/032,Psicología,secuencias de aprendizaje,synthetic institutional data
THS-033,Caracterización de secuencias de aprendizaje en relación con learning analytics,"Trabajo de grado que analiza secuencias de aprendizaje mediante analítica educativa, considerando su relación con learning analytics en un contexto universitario o aplicado.",Existe conocimiento disperso sobre secuencias de aprendizaje y no siempre se comprende su relación con learning analytics.,Analizar secuencias de aprendizaje mediante analítica educativa para producir evidencia sobre learning analytics.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender learning analytics.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2021,secuencias de aprendizaje;learning analytics;analítica educativa,APPROVED,repo://thesis/033,Licenciatura en Tecnología e Informática,learning analytics,synthetic institutional data
THS-034,Evaluación de modelamiento de usuarios para analizar learning analytics,"Trabajo de grado que analiza learning analytics mediante modelamiento de usuarios, considerando su relación con perfil del estudiante en un contexto universitario o aplicado.",Existe conocimiento disperso sobre learning analytics y no siempre se comprende su relación con perfil del estudiante.,Analizar learning analytics mediante modelamiento de usuarios para producir evidencia sobre perfil del estudiante.,"Revisión de antecedentes, preparación de datos, modelamiento de usuarios y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender perfil del estudiante.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-010,2022,learning analytics;perfil del estudiante;modelamiento de usuarios,APPROVED,repo://thesis/034,Licenciatura en Tecnología e Informática,perfil del estudiante,synthetic institutional data
THS-035,Modelo aplicado para el estudio de perfil del estudiante,"Trabajo de grado que analiza perfil del estudiante mediante sistemas recomendadores, considerando su relación con aprendizaje adaptativo en un contexto universitario o aplicado.",Existe conocimiento disperso sobre perfil del estudiante y no siempre se comprende su relación con aprendizaje adaptativo.,Analizar perfil del estudiante mediante sistemas recomendadores para producir evidencia sobre aprendizaje adaptativo.,"Revisión de antecedentes, preparación de datos, sistemas recomendadores y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender aprendizaje adaptativo.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2023,perfil del estudiante;aprendizaje adaptativo;sistemas recomendadores,APPROVED,repo://thesis/035,Psicología,aprendizaje adaptativo,synthetic institutional data
THS-036,Análisis de patrones asociados con personalización,"Trabajo de grado que analiza aprendizaje adaptativo mediante analítica educativa, considerando su relación con personalización en un contexto universitario o aplicado.",Existe conocimiento disperso sobre aprendizaje adaptativo y no siempre se comprende su relación con personalización.,Analizar aprendizaje adaptativo mediante analítica educativa para producir evidencia sobre personalización.,"Revisión de antecedentes, preparación de datos, analítica educativa y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender personalización.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-011,2024,aprendizaje adaptativo;personalización;analítica educativa,APPROVED,repo://thesis/036,Psicología,personalización,synthetic institutional data
THS-037,Caracterización de personalización en relación con secuencias de aprendizaje,"Trabajo de grado que analiza personalización mediante modelamiento de usuarios, considerando su relación con secuencias de aprendizaje en un contexto universitario o aplicado.",Existe conocimiento disperso sobre personalización y no siempre se comprende su relación con secuencias de aprendizaje.,Analizar personalización mediante modelamiento de usuarios para producir evidencia sobre secuencias de aprendizaje.,"Revisión de antecedentes, preparación de datos, modelamiento de usuarios y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender secuencias de aprendizaje.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2025,personalización;secuencias de aprendizaje;modelamiento de usuarios,APPROVED,repo://thesis/037,Ciencias de la Educación,secuencias de aprendizaje,synthetic institutional data
THS-038,Evaluación de sistemas recomendadores para analizar secuencias de aprendizaje,"Trabajo de grado que analiza secuencias de aprendizaje mediante sistemas recomendadores, considerando su relación con learning analytics en un contexto universitario o aplicado.",Existe conocimiento disperso sobre secuencias de aprendizaje y no siempre se comprende su relación con learning analytics.,Analizar secuencias de aprendizaje mediante sistemas recomendadores para producir evidencia sobre learning analytics.,"Revisión de antecedentes, preparación de datos, sistemas recomendadores y validación de resultados.",Se identificaron patrones y hallazgos pertinentes para comprender learning analytics.,"Los resultados muestran potencial de aplicación, con limitaciones relacionadas con cobertura y contexto.",PRG-012,2026,secuencias de aprendizaje;learning analytics;sistemas recomendadores,APPROVED,repo://thesis/038,Ciencias de la Educación,learning analytics,synthetic institutional data
