project_id,group_id,relation
PRJ-184,GRP-018,EXECUTING_GROUP
PRJ-185,GRP-004,EXECUTING_GROUP
PRJ-186,GRP-008,EXECUTING_GROUP
PRJ-187,GRP-010,EXECUTING_GROUP
PRJ-188,GRP-013,EXECUTING_GROUP
PRJ-189,GRP-017,EXECUTING_GROUP
PRJ-190,GRP-021,EXECUTING_GROUP
PRJ-191,GRP-004,EXECUTING_GROUP
PRJ-192,GRP-007,EXECUTING_GROUP
PRJ-193,GRP-010,EXECUTING_GROUP
PRJ-194,GRP-012,EXECUTING_GROUP
PRJ-195,GRP-017,EXECUTING_GROUP
PRJ-196,GRP-021,EXECUTING_GROUP
PRJ-197,GRP-004,EXECUTING_GROUP
PRJ-198,GRP-008,EXECUTING_GROUP
PRJ-199,GRP-011,EXECUTING_GROUP
PRJ-200,GRP-012,EXECUTING_GROUP
PRJ-201,GRP-017,EXECUTING_GROUP
PRJ-202,GRP-020,EXECUTING_GROUP
PRJ-203,GRP-005,EXECUTING_GROUP
PRJ-204,GRP-006,EXECUTING_GROUP
PRJ-205,GRP-010,EXECUTING_GROUP
PRJ-206,GRP-013,EXECUTING_GROUP
PRJ-207,GRP-015,EXECUTING_GROUP
PRJ-208,GRP-021,EXECUTING_GROUP
PRJ-209,GRP-005,EXECUTING_GROUP
PRJ-210,GRP-008,EXECUTING_GROUP
PRJ-211,GRP-009,EXECUTING_GROUP
PRJ-212,GRP-014,EXECUTING_GROUP
PRJ-213,GRP-017,EXECUTING_GROUP
PRJ-214,GRP-021,EXECUTING_GROUP
PRJ-215,GRP-002,EXECUTING_GROUP
PRJ-216,GRP-006,EXECUTING_GROUP
PRJ-217,GRP-011,EXECUTING_GROUP
PRJ-218,GRP-013,EXECUTING_GROUP
PRJ-219,GRP-017,EXECUTING_GROUP
PRJ-220,GRP-019,EXECUTING_GROUP
PRJ-221,GRP-003,EXECUTING_GROUP
PRJ-222,GRP-008,EXECUTING_GROUP
PRJ-223,GRP-010,EXECUTING_GROUP
PRJ-224,GRP-013,EXECUTING_GROUP
PRJ-225,GRP-015,EXECUTING_GROUP
PRJ-226,GRP-019,EXECUTING_GROUP
PRJ-227,GRP-005,EXECUTING_GROUP
PRJ-228,GRP-007,EXECUTING_GROUP
PRJ-229,GRP-010,EXECUTING_GROUP
PRJ-230,GRP-012,EXECUTING_GROUP
PRJ-231,GRP-016,EXECUTING_GROUP
PRJ-232,GRP-019,EXECUTING_GROUP
PRJ-233,GRP-002,EXECUTING_GROUP
PRJ-234,GRP-007,EXECUTING_GROUP
PRJ-235,GRP-011,EXECUTING_GROUP
PRJ-236,GRP-014,EXECUTING_GROUP
PRJ-237,GRP-016,EXECUTING_GROUP
PRJ-238,GRP-018,EXECUTING_GROUP
PRJ-239,GRP-001,EXECUTING_GROUP
PRJ-240,GRP-008,EXECUTING_GROUP
PRJ-241,GRP-009,EXECUTING_GROUP
PRJ-242,GRP-012,EXECUTING_GROUP
PRJ-243,GRP-017,EXECUTING_GROUP
PRJ-244,GRP-021,EXECUTING_GROUP
PRJ-245,GRP-002,EXECUTING_GROUP
PRJ-246,GRP-007,EXECUTING_GROUP
PRJ-247,GRP-009,EXECUTING_GROUP
PRJ-248,GRP-012,EXECUTING_GROUP
PRJ-249,GRP-015,EXECUTING_GROUP
PRJ-250,GRP-021,EXECUTING_GROUP
PRJ-251,GRP-005,EXECUTING_GROUP
PRJ-252,GRP-006,EXECUTING_GROUP
PRJ-253,GRP-009,EXECUTING_GROUP
PRJ-254,GRP-013,EXECUTING_GROUP
PRJ-255,GRP-015,EXECUTING_GROUP
PRJ-256,GRP-018,EXECUTING_GROUP
PRJ-257,GRP-001,EXECUTING_GROUP
PRJ-258,GRP-006,EXECUTING_GROUP
PRJ-259,GRP-009,EXECUTING_GROUP
PRJ-260,GRP-012,EXECUTING_GROUP
PRJ-261,GRP-016,EXECUTING_GROUP
PRJ-262,GRP-018,EXECUTING_GROUP
PRJ-263,GRP-005,EXECUTING_GROUP
PRJ-264,GRP-008,EXECUTING_GROUP
PRJ-265,GRP-010,EXECUTING_GROUP
PRJ-266,GRP-014,EXECUTING_GROUP
PRJ-267,GRP-017,EXECUTING_GROUP
PRJ-268,GRP-018,EXECUTING_GROUP
PRJ-269,GRP-004,EXECUTING_GROUP
PRJ-270,GRP-006,EXECUTING_GROUP
PRJ-271,GRP-009,EXECUTING_GROUP
PRJ-272,GRP-014,EXECUTING_GROUP
PRJ-273,GRP-015,EXECUTING_GROUP
PRJ-274,GRP-018,EXECUTING_GROUP
PRJ-275,GRP-002,EXECUTING_GROUP
PRJ-276,GRP-006,EXECUTING_GROUP
PRJ-277,GRP-009,EXECUTING_GROUP
PRJ-278,GRP-012,EXECUTING_GROUP
PRJ-279,GRP-015,EXECUTING_GROUP
PRJ-280,GRP-020,EXECUTING_GROUP
PRJ-281,GRP-004,EXECUTING_GROUP
PRJ-282,GRP-008,EXECUTING_GROUP
PRJ-283,GRP-011,EXECUTING_GROUP
PRJ-284,GRP-014,EXECUTING_GROUP
PRJ-285,GRP-016,EXECUTING_GROUP
PRJ-286,GRP-021,EXECUTING_GROUP
PRJ-287,GRP-002,EXECUTING_GROUP
PRJ-288,GRP-008,EXECUTING_GROUP
PRJ-289,GRP-011,EXECUTING_GROUP
PRJ-290,GRP-012,EXECUTING_GROUP
PRJ-291,GRP-015,EXECUTING_GROUP
PRJ-292,GRP-018,EXECUTING_GROUP
PRJ-293,GRP-002,EXECUTING_GROUP
PRJ-294,GRP-006,EXECUTING_GROUP
PRJ-295,GRP-009,EXECUTING_GROUP
PRJ-296,GRP-014,EXECUTING_GROUP
PRJ-297,GRP-017,EXECUTING_GROUP
PRJ-298,GRP-020,EXECUTING_GROUP
PRJ-299,GRP-001,EXECUTING_GROUP
PRJ-300,GRP-008,EXECUTING_GROUP
PRJ-301,GRP-009,EXECUTING_GROUP
PRJ-302,GRP-013,EXECUTING_GROUP
PRJ-303,GRP-015,EXECUTING_GROUP
PRJ-304,GRP-021,EXECUTING_GROUP
PRJ-305,GRP-003,EXECUTING_GROUP
PRJ-306,GRP-006,EXECUTING_GROUP
PRJ-307,GRP-009,EXECUTING_GROUP
PRJ-308,GRP-014,EXECUTING_GROUP
PRJ-309,GRP-015,EXECUTING_GROUP
PRJ-310,GRP-019,EXECUTING_GROUP
PRJ-311,GRP-001,EXECUTING_GROUP
PRJ-312,GRP-007,EXECUTING_GROUP
PRJ-313,GRP-011,EXECUTING_GROUP
PRJ-314,GRP-012,EXECUTING_GROUP
PRJ-315,GRP-015,EXECUTING_GROUP
PRJ-316,GRP-020,EXECUTING_GROUP
PRJ-317,GRP-004,EXECUTING_GROUP
PRJ-318,GRP-006,EXECUTING_GROUP
PRJ-319,GRP-009,EXECUTING_GROUP
PRJ-320,GRP-012,EXECUTING_GROUP
