publication_id,title,abstract,year,publication_type,researchers,keywords,journal_or_event,related_project_id
PUB-035,Recuperación semántica: evidencia aplicada mediante NLP,"Publicación que reporta resultados aplicados sobre recuperación semántica mediante NLP, con énfasis en evidencia trazable y validación contextual.",2026,ARTICLE,INV-173;INV-178,recuperación semántica;NLP,Journal of Applied Nexus Studies,PRJ-029
PUB-036,Antecedentes investigativos: evidencia aplicada mediante representaciones semánticas,"Publicación que reporta resultados aplicados sobre antecedentes investigativos mediante representaciones semánticas, con énfasis en evidencia trazable y validación contextual.",2018,ARTICLE,INV-156;INV-177,antecedentes investigativos;representaciones semánticas,Journal of Applied Nexus Studies,PRJ-030
PUB-037,Similitud Conceptual using recuperación de información: evidence from a Latin American university,"This publication reports an applied study on similitud conceptual using recuperación de información, emphasizing traceable evidence and contextual validation.",2019,ARTICLE,INV-174;INV-179,,Journal of Applied Nexus Studies,PRJ-031
PUB-038,Trabajos de grado: evidencia aplicada mediante NLP,"Publicación que reporta resultados aplicados sobre trabajos de grado mediante NLP, con énfasis en evidencia trazable y validación contextual.",2020,ARTICLE,INV-164;INV-160,trabajos de grado;NLP,Journal of Applied Nexus Studies,PRJ-032
PUB-039,Research similarity: evidencia aplicada mediante representaciones semánticas,"Publicación que reporta resultados aplicados sobre research similarity mediante representaciones semánticas, con énfasis en evidencia trazable y validación contextual.",2021,ARTICLE,INV-168;INV-172,research similarity;representaciones semánticas,Journal of Applied Nexus Studies,PRJ-025
PUB-040,Recuperación Semántica using recuperación de información: evidence from a Latin American university,"This publication reports an applied study on recuperación semántica using recuperación de información, emphasizing traceable evidence and contextual validation.",2022,ARTICLE,INV-176;INV-159,recuperación semántica;recuperación de información,Journal of Applied Nexus Studies,PRJ-026
PUB-041,Monitoreo Cardiovascular using procesamiento de señales: evidence from a Latin American university,"This publication reports an applied study on monitoreo cardiovascular using procesamiento de señales, emphasizing traceable evidence and contextual validation.",2023,ARTICLE,INV-056;INV-052,monitoreo cardiovascular;procesamiento de señales,Journal of Applied Nexus Studies,PRJ-033
PUB-042,Ecg: evidencia aplicada mediante IoT,"Publicación que reporta resultados aplicados sobre ECG mediante IoT, con énfasis en evidencia trazable y validación contextual.",2024,ARTICLE,INV-058;INV-046,ECG;IoT,Journal of Applied Nexus Studies,PRJ-034
PUB-043,Wearables: evidencia aplicada mediante clasificación,"Publicación que reporta resultados aplicados sobre wearables mediante clasificación, con énfasis en evidencia trazable y validación contextual.",2025,ARTICLE,INV-058;INV-049,wearables;clasificación,Journal of Applied Nexus Studies,PRJ-035
PUB-044,Telemonitoring using procesamiento de señales: evidence from a Latin American university,"This publication reports an applied study on telemonitoring using procesamiento de señales, emphasizing traceable evidence and contextual validation.",2026,ARTICLE,INV-062;INV-063,telemonitoring;procesamiento de señales,Journal of Applied Nexus Studies,PRJ-036
PUB-045,Señales fisiológicas: evidencia aplicada mediante IoT,"Publicación que reporta resultados aplicados sobre señales fisiológicas mediante IoT, con énfasis en evidencia trazable y validación contextual.",2018,ARTICLE,INV-043;INV-057,señales fisiológicas;IoT,Journal of Applied Nexus Studies,PRJ-037
PUB-046,Monitoreo cardiovascular: evidencia aplicada mediante clasificación,"Publicación que reporta resultados aplicados sobre monitoreo cardiovascular mediante clasificación, con énfasis en evidencia trazable y validación contextual.",2019,ARTICLE,INV-072;INV-046,monitoreo cardiovascular;clasificación,Journal of Applied Nexus Studies,PRJ-038
PUB-047,Ecg using procesamiento de señales: evidence from a Latin American university,"This publication reports an applied study on ECG using procesamiento de señales, emphasizing traceable evidence and contextual validation.",2020,ARTICLE,INV-071;INV-052,ECG;procesamiento de señales,Journal of Applied Nexus Studies,PRJ-039
PUB-048,Wearables: evidencia aplicada mediante IoT,"Publicación que reporta resultados aplicados sobre wearables mediante IoT, con énfasis en evidencia trazable y validación contextual.",2021,ARTICLE,INV-051;INV-065,wearables;IoT,Journal of Applied Nexus Studies,PRJ-040
PUB-049,Telemonitoring: evidencia aplicada mediante clasificación,"Publicación que reporta resultados aplicados sobre telemonitoring mediante clasificación, con énfasis en evidencia trazable y validación contextual.",2022,ARTICLE,INV-060;INV-073,telemonitoring;clasificación,Journal of Applied Nexus Studies,PRJ-033
PUB-050,Señales Fisiológicas using procesamiento de señales: evidence from a Latin American university,"This publication reports an applied study on señales fisiológicas using procesamiento de señales, emphasizing traceable evidence and contextual validation.",2023,ARTICLE,INV-053;INV-072,señales fisiológicas;procesamiento de señales,Journal of Applied Nexus Studies,PRJ-034
PUB-051,Epidemiología using series temporales: evidence from a Latin American university,"This publication reports an applied study on epidemiología using series temporales, emphasizing traceable evidence and contextual validation.",2024,ARTICLE,INV-053;INV-045,epidemiología;series temporales,Journal of Applied Nexus Studies,PRJ-041
PUB-052,Enfermedades respiratorias: evidencia aplicada mediante modelos dinámicos,"Publicación que reporta resultados aplicados sobre enfermedades respiratorias mediante modelos dinámicos, con énfasis en evidencia trazable y validación contextual.",2025,ARTICLE,INV-059;INV-073,enfermedades respiratorias;modelos dinámicos,Journal of Applied Nexus Studies,PRJ-042
PUB-053,Vigilancia poblacional: evidencia aplicada mediante modelamiento probabilístico,"Publicación que reporta resultados aplicados sobre vigilancia poblacional mediante modelamiento probabilístico, con énfasis en evidencia trazable y validación contextual.",2026,ARTICLE,INV-044;INV-066,vigilancia poblacional;modelamiento probabilístico,Journal of Applied Nexus Studies,PRJ-043
PUB-054,Outbreak Forecasting using series temporales: evidence from a Latin American university,"This publication reports an applied study on outbreak forecasting using series temporales, emphasizing traceable evidence and contextual validation.",2018,ARTICLE,INV-072;INV-062,outbreak forecasting;series temporales,Journal of Applied Nexus Studies,PRJ-044
PUB-055,Riesgo sanitario: evidencia aplicada mediante modelos dinámicos,"Publicación que reporta resultados aplicados sobre riesgo sanitario mediante modelos dinámicos, con énfasis en evidencia trazable y validación contextual.",2019,ARTICLE,INV-043;INV-055,riesgo sanitario;modelos dinámicos,Journal of Applied Nexus Studies,PRJ-045
PUB-056,Epidemiología: evidencia aplicada mediante modelamiento probabilístico,"Publicación que reporta resultados aplicados sobre epidemiología mediante modelamiento probabilístico, con énfasis en evidencia trazable y validación contextual.",2020,ARTICLE,INV-051;INV-045,epidemiología;modelamiento probabilístico,Journal of Applied Nexus Studies,PRJ-046
PUB-057,Enfermedades Respiratorias using series temporales: evidence from a Latin American university,"This publication reports an applied study on enfermedades respiratorias using series temporales, emphasizing traceable evidence and contextual validation.",2021,ARTICLE,INV-068;INV-058,enfermedades respiratorias;series temporales,Journal of Applied Nexus Studies,PRJ-047
PUB-058,Vigilancia poblacional: evidencia aplicada mediante modelos dinámicos,"Publicación que reporta resultados aplicados sobre vigilancia poblacional mediante modelos dinámicos, con énfasis en evidencia trazable y validación contextual.",2022,ARTICLE,INV-055;INV-046,vigilancia poblacional;modelos dinámicos,Journal of Applied Nexus Studies,PRJ-048
PUB-059,Outbreak forecasting: evidencia aplicada mediante modelamiento probabilístico,"Publicación que reporta resultados aplicados sobre outbreak forecasting mediante modelamiento probabilístico, con énfasis en evidencia trazable y validación contextual.",2023,ARTICLE,INV-062;INV-055,outbreak forecasting;modelamiento probabilístico,Journal of Applied Nexus Studies,PRJ-041
PUB-060,Riesgo Sanitario using series temporales: evidence from a Latin American university,"This publication reports an applied study on riesgo sanitario using series temporales, emphasizing traceable evidence and contextual validation.",2024,ARTICLE,INV-063;INV-054,riesgo sanitario;series temporales,Journal of Applied Nexus Studies,PRJ-042
PUB-061,Historias Clínicas using ciberseguridad: evidence from a Latin American university,"This publication reports an applied study on historias clínicas using ciberseguridad, emphasizing traceable evidence and contextual validation.",2025,ARTICLE,INV-048;INV-058,historias clínicas;ciberseguridad,Journal of Applied Nexus Studies,PRJ-049
PUB-062,Privacidad: evidencia aplicada mediante arquitecturas de software,"Publicación que reporta resultados aplicados sobre privacidad mediante arquitecturas de software, con énfasis en evidencia trazable y validación contextual.",2026,ARTICLE,INV-055;INV-058,privacidad;arquitecturas de software,Journal of Applied Nexus Studies,PRJ-050
PUB-063,Interoperabilidad: evidencia aplicada mediante gestión de identidades,"Publicación que reporta resultados aplicados sobre interoperabilidad mediante gestión de identidades, con énfasis en evidencia trazable y validación contextual.",2018,ARTICLE,INV-044;INV-072,interoperabilidad;gestión de identidades,Journal of Applied Nexus Studies,PRJ-051
PUB-064,Clinical Data Security using ciberseguridad: evidence from a Latin American university,"This publication reports an applied study on clinical data security using ciberseguridad, emphasizing traceable evidence and contextual validation.",2019,ARTICLE,INV-053;INV-063,clinical data security;ciberseguridad,Journal of Applied Nexus Studies,PRJ-052
PUB-065,Control de acceso: evidencia aplicada mediante arquitecturas de software,"Publicación que reporta resultados aplicados sobre control de acceso mediante arquitecturas de software, con énfasis en evidencia trazable y validación contextual.",2020,ARTICLE,INV-069;INV-061,control de acceso;arquitecturas de software,Journal of Applied Nexus Studies,PRJ-053
PUB-066,Historias clínicas: evidencia aplicada mediante gestión de identidades,"Publicación que reporta resultados aplicados sobre historias clínicas mediante gestión de identidades, con énfasis en evidencia trazable y validación contextual.",2021,ARTICLE,INV-071;INV-047,historias clínicas;gestión de identidades,Journal of Applied Nexus Studies,PRJ-054
PUB-067,Privacidad using ciberseguridad: evidence from a Latin American university,"This publication reports an applied study on privacidad using ciberseguridad, emphasizing traceable evidence and contextual validation.",2022,ARTICLE,INV-049;INV-065,privacidad;ciberseguridad,Journal of Applied Nexus Studies,PRJ-055
PUB-068,Interoperabilidad: evidencia aplicada mediante arquitecturas de software,"Publicación que reporta resultados aplicados sobre interoperabilidad mediante arquitecturas de software, con énfasis en evidencia trazable y validación contextual.",2023,ARTICLE,INV-047;INV-062,interoperabilidad;arquitecturas de software,Journal of Applied Nexus Studies,PRJ-056
PUB-069,Clinical data security: evidencia aplicada mediante gestión de identidades,"Publicación que reporta resultados aplicados sobre clinical data security mediante gestión de identidades, con énfasis en evidencia trazable y validación contextual.",2024,ARTICLE,INV-071;INV-051,clinical data security;gestión de identidades,Journal of Applied Nexus Studies,PRJ-049
PUB-070,Control De Acceso using ciberseguridad: evidence from a Latin American university,"This publication reports an applied study on control de acceso using ciberseguridad, emphasizing traceable evidence and contextual validation.",2025,ARTICLE,INV-053;INV-044,control de acceso;ciberseguridad,Journal of Applied Nexus Studies,PRJ-050
PUB-071,Exposición Ocupacional using IoT: evidence from a Latin American university,"This publication reports an applied study on exposición ocupacional using IoT, emphasizing traceable evidence and contextual validation.",2026,ARTICLE,INV-070;INV-054,exposición ocupacional;IoT,Journal of Applied Nexus Studies,PRJ-057
PUB-072,Riesgo térmico: evidencia aplicada mediante analítica de riesgo,"Publicación que reporta resultados aplicados sobre riesgo térmico mediante analítica de riesgo, con énfasis en evidencia trazable y validación contextual.",2018,ARTICLE,INV-071;INV-070,riesgo térmico;analítica de riesgo,Journal of Applied Nexus Studies,PRJ-058
PUB-073,Ergonomía: evidencia aplicada mediante procesamiento de señales,"Publicación que reporta resultados aplicados sobre ergonomía mediante procesamiento de señales, con énfasis en evidencia trazable y validación contextual.",2019,ARTICLE,INV-045;INV-044,ergonomía;procesamiento de señales,Journal of Applied Nexus Studies,PRJ-059
PUB-074,Worker Safety using IoT: evidence from a Latin American university,"This publication reports an applied study on worker safety using IoT, emphasizing traceable evidence and contextual validation.",2020,ARTICLE,INV-056;INV-044,,Journal of Applied Nexus Studies,PRJ-060
PUB-075,Monitoreo ambiental laboral: evidencia aplicada mediante analítica de riesgo,"Publicación que reporta resultados aplicados sobre monitoreo ambiental laboral mediante analítica de riesgo, con énfasis en evidencia trazable y validación contextual.",2021,ARTICLE,INV-060;INV-047,monitoreo ambiental laboral;analítica de riesgo,Journal of Applied Nexus Studies,PRJ-061
PUB-076,Exposición ocupacional: evidencia aplicada mediante procesamiento de señales,"Publicación que reporta resultados aplicados sobre exposición ocupacional mediante procesamiento de señales, con énfasis en evidencia trazable y validación contextual.",2022,ARTICLE,INV-058;INV-060,exposición ocupacional;procesamiento de señales,Journal of Applied Nexus Studies,PRJ-062
PUB-077,Riesgo Térmico using IoT: evidence from a Latin American university,"This publication reports an applied study on riesgo térmico using IoT, emphasizing traceable evidence and contextual validation.",2023,ARTICLE,INV-051;INV-073,riesgo térmico;IoT,Journal of Applied Nexus Studies,PRJ-063
PUB-078,Ergonomía: evidencia aplicada mediante analítica de riesgo,"Publicación que reporta resultados aplicados sobre ergonomía mediante analítica de riesgo, con énfasis en evidencia trazable y validación contextual.",2024,ARTICLE,INV-066;INV-057,ergonomía;analítica de riesgo,Journal of Applied Nexus Studies,PRJ-064
PUB-079,Worker safety: evidencia aplicada mediante procesamiento de señales,"Publicación que reporta resultados aplicados sobre worker safety mediante procesamiento de señales, con énfasis en evidencia trazable y validación contextual.",2025,ARTICLE,INV-062;INV-052,worker safety;procesamiento de señales,Journal of Applied Nexus Studies,PRJ-057
PUB-080,Monitoreo Ambiental Laboral using IoT: evidence from a Latin American university,"This publication reports an applied study on monitoreo ambiental laboral using IoT, emphasizing traceable evidence and contextual validation.",2026,ARTICLE,INV-051;INV-062,monitoreo ambiental laboral;IoT,Journal of Applied Nexus Studies,PRJ-058
PUB-081,Calidad Del Agua using IoT: evidence from a Latin American university,"This publication reports an applied study on calidad del agua using IoT, emphasizing traceable evidence and contextual validation.",2018,ARTICLE,INV-128;INV-139,calidad del agua;IoT,Journal of Applied Nexus Studies,PRJ-065
PUB-082,Variables fisicoquímicas: evidencia aplicada mediante detección de anomalías,"Publicación que reporta resultados aplicados sobre variables fisicoquímicas mediante detección de anomalías, con énfasis en evidencia trazable y validación contextual.",2019,ARTICLE,INV-137;INV-135,variables fisicoquímicas;detección de anomalías,Journal of Applied Nexus Studies,PRJ-066
PUB-083,Cuencas: evidencia aplicada mediante series temporales,"Publicación que reporta resultados aplicados sobre cuencas mediante series temporales, con énfasis en evidencia trazable y validación contextual.",2020,ARTICLE,INV-137;INV-134,cuencas;series temporales,Journal of Applied Nexus Studies,PRJ-067
PUB-084,Water Monitoring using IoT: evidence from a Latin American university,"This publication reports an applied study on water monitoring using IoT, emphasizing traceable evidence and contextual validation.",2021,ARTICLE,INV-153;INV-147,water monitoring;IoT,Journal of Applied Nexus Studies,PRJ-068
PUB-085,Contaminación hídrica: evidencia aplicada mediante detección de anomalías,"Publicación que reporta resultados aplicados sobre contaminación hídrica mediante detección de anomalías, con énfasis en evidencia trazable y validación contextual.",2022,ARTICLE,INV-143;INV-137,contaminación hídrica;detección de anomalías,Journal of Applied Nexus Studies,PRJ-069
PUB-086,Calidad del agua: evidencia aplicada mediante series temporales,"Publicación que reporta resultados aplicados sobre calidad del agua mediante series temporales, con énfasis en evidencia trazable y validación contextual.",2023,ARTICLE,INV-150;INV-135,calidad del agua;series temporales,Journal of Applied Nexus Studies,PRJ-070
PUB-087,Variables Fisicoquímicas using IoT: evidence from a Latin American university,"This publication reports an applied study on variables fisicoquímicas using IoT, emphasizing traceable evidence and contextual validation.",2024,ARTICLE,INV-137;INV-141,variables fisicoquímicas;IoT,Journal of Applied Nexus Studies,PRJ-071
PUB-088,Cuencas: evidencia aplicada mediante detección de anomalías,"Publicación que reporta resultados aplicados sobre cuencas mediante detección de anomalías, con énfasis en evidencia trazable y validación contextual.",2025,ARTICLE,INV-153;INV-140,cuencas;detección de anomalías,Journal of Applied Nexus Studies,PRJ-072
PUB-089,Water monitoring: evidencia aplicada mediante series temporales,"Publicación que reporta resultados aplicados sobre water monitoring mediante series temporales, con énfasis en evidencia trazable y validación contextual.",2026,ARTICLE,INV-141;INV-129,water monitoring;series temporales,Journal of Applied Nexus Studies,PRJ-065
PUB-090,Contaminación Hídrica using IoT: evidence from a Latin American university,"This publication reports an applied study on contaminación hídrica using IoT, emphasizing traceable evidence and contextual validation.",2018,ARTICLE,INV-134;INV-135,contaminación hídrica;IoT,Journal of Applied Nexus Studies,PRJ-066
PUB-091,Riesgo Climático using modelamiento ambiental: evidence from a Latin American university,"This publication reports an applied study on riesgo climático using modelamiento ambiental, emphasizing traceable evidence and contextual validation.",2019,ARTICLE,INV-142;INV-144,riesgo climático;modelamiento ambiental,Journal of Applied Nexus Studies,PRJ-073
PUB-092,Eventos extremos: evidencia aplicada mediante series temporales,"Publicación que reporta resultados aplicados sobre eventos extremos mediante series temporales, con énfasis en evidencia trazable y validación contextual.",2020,ARTICLE,INV-131;INV-137,eventos extremos;series temporales,Journal of Applied Nexus Studies,PRJ-074
PUB-093,Territorio: evidencia aplicada mediante análisis espacial,"Publicación que reporta resultados aplicados sobre territorio mediante análisis espacial, con énfasis en evidencia trazable y validación contextual.",2021,ARTICLE,INV-128;INV-142,territorio;análisis espacial,Journal of Applied Nexus Studies,PRJ-075
PUB-094,Climate Resilience using modelamiento ambiental: evidence from a Latin American university,"This publication reports an applied study on climate resilience using modelamiento ambiental, emphasizing traceable evidence and contextual validation.",2022,ARTICLE,INV-153;INV-134,climate resilience;modelamiento ambiental,Journal of Applied Nexus Studies,PRJ-076
PUB-095,Vulnerabilidad: evidencia aplicada mediante series temporales,"Publicación que reporta resultados aplicados sobre vulnerabilidad mediante series temporales, con énfasis en evidencia trazable y validación contextual.",2023,ARTICLE,INV-135;INV-154,vulnerabilidad;series temporales,Journal of Applied Nexus Studies,PRJ-077
PUB-096,Riesgo climático: evidencia aplicada mediante análisis espacial,"Publicación que reporta resultados aplicados sobre riesgo climático mediante análisis espacial, con énfasis en evidencia trazable y validación contextual.",2024,ARTICLE,INV-130;INV-149,riesgo climático;análisis espacial,Journal of Applied Nexus Studies,PRJ-078
