thesis_id,researcher_id,role
THS-070,INV-166,ADVISOR
THS-071,INV-165,ADVISOR
THS-072,INV-178,ADVISOR
THS-073,INV-171,ADVISOR
THS-074,INV-179,ADVISOR
THS-075,INV-175,ADVISOR
THS-076,INV-162,ADVISOR
THS-077,INV-156,ADVISOR
THS-078,INV-160,ADVISOR
THS-079,INV-172,ADVISOR
THS-080,INV-179,ADVISOR
THS-081,INV-071,ADVISOR
THS-082,INV-056,ADVISOR
THS-083,INV-057,ADVISOR
THS-084,INV-044,ADVISOR
THS-085,INV-061,ADVISOR
THS-086,INV-072,ADVISOR
THS-087,INV-073,ADVISOR
THS-088,INV-056,ADVISOR
THS-089,INV-045,ADVISOR
THS-090,INV-051,ADVISOR
THS-091,INV-050,ADVISOR
THS-092,INV-049,ADVISOR
THS-093,INV-057,ADVISOR
THS-094,INV-068,ADVISOR
THS-095,INV-059,ADVISOR
THS-096,INV-046,ADVISOR
THS-097,INV-068,ADVISOR
THS-098,INV-048,ADVISOR
THS-099,INV-045,ADVISOR
THS-100,INV-055,ADVISOR
THS-101,INV-053,ADVISOR
THS-102,INV-046,ADVISOR
THS-103,INV-056,ADVISOR
THS-104,INV-045,ADVISOR
THS-105,INV-070,ADVISOR
THS-106,INV-050,ADVISOR
THS-107,INV-072,ADVISOR
THS-108,INV-072,ADVISOR
THS-109,INV-073,ADVISOR
THS-110,INV-059,ADVISOR
THS-111,INV-070,ADVISOR
THS-112,INV-061,ADVISOR
THS-113,INV-060,ADVISOR
THS-114,INV-057,ADVISOR
THS-115,INV-057,ADVISOR
THS-116,INV-055,ADVISOR
THS-117,INV-066,ADVISOR
THS-118,INV-070,ADVISOR
THS-119,INV-062,ADVISOR
THS-120,INV-062,ADVISOR
THS-121,INV-054,ADVISOR
THS-122,INV-048,ADVISOR
THS-123,INV-054,ADVISOR
THS-124,INV-057,ADVISOR
THS-125,INV-043,ADVISOR
THS-126,INV-065,ADVISOR
THS-127,INV-066,ADVISOR
THS-128,INV-064,ADVISOR
THS-129,INV-049,ADVISOR
THS-130,INV-054,ADVISOR
THS-131,INV-058,ADVISOR
THS-132,INV-055,ADVISOR
THS-133,INV-066,ADVISOR
THS-134,INV-052,ADVISOR
THS-135,INV-068,ADVISOR
THS-136,INV-057,ADVISOR
THS-137,INV-065,ADVISOR
THS-138,INV-051,ADVISOR
THS-139,INV-058,ADVISOR
THS-140,INV-058,ADVISOR
THS-141,INV-070,ADVISOR
THS-142,INV-055,ADVISOR
THS-143,INV-048,ADVISOR
THS-144,INV-065,ADVISOR
THS-145,INV-067,ADVISOR
THS-146,INV-070,ADVISOR
THS-147,INV-065,ADVISOR
THS-148,INV-050,ADVISOR
THS-149,INV-050,ADVISOR
THS-150,INV-056,ADVISOR
THS-151,INV-045,ADVISOR
THS-152,INV-070,ADVISOR
THS-153,INV-066,ADVISOR
THS-154,INV-060,ADVISOR
THS-155,INV-048,ADVISOR
THS-156,INV-045,ADVISOR
THS-157,INV-068,ADVISOR
THS-158,INV-065,ADVISOR
THS-159,INV-061,ADVISOR
THS-160,INV-050,ADVISOR
THS-161,INV-134,ADVISOR
THS-162,INV-128,ADVISOR
THS-163,INV-144,ADVISOR
THS-164,INV-135,ADVISOR
THS-165,INV-150,ADVISOR
THS-166,INV-141,ADVISOR
THS-167,INV-150,ADVISOR
THS-168,INV-136,ADVISOR
THS-169,INV-153,ADVISOR
THS-170,INV-146,ADVISOR
THS-171,INV-134,ADVISOR
THS-172,INV-132,ADVISOR
THS-173,INV-133,ADVISOR
THS-174,INV-129,ADVISOR
THS-175,INV-153,ADVISOR
THS-176,INV-141,ADVISOR
THS-177,INV-142,ADVISOR
THS-178,INV-131,ADVISOR
THS-179,INV-135,ADVISOR
THS-180,INV-139,ADVISOR
THS-181,INV-129,ADVISOR
THS-182,INV-138,ADVISOR
THS-183,INV-132,ADVISOR
THS-184,INV-148,ADVISOR
THS-185,INV-145,ADVISOR
THS-186,INV-146,ADVISOR
THS-187,INV-150,ADVISOR
THS-188,INV-138,ADVISOR
THS-189,INV-143,ADVISOR
THS-190,INV-154,ADVISOR
THS-191,INV-139,ADVISOR
THS-192,INV-145,ADVISOR
THS-193,INV-139,ADVISOR
THS-194,INV-149,ADVISOR
THS-195,INV-148,ADVISOR
THS-196,INV-139,ADVISOR
THS-197,INV-144,ADVISOR
THS-198,INV-131,ADVISOR
THS-199,INV-140,ADVISOR
THS-200,INV-133,ADVISOR
THS-201,INV-152,ADVISOR
THS-202,INV-151,ADVISOR
THS-203,INV-140,ADVISOR
THS-204,INV-135,ADVISOR
THS-205,INV-141,ADVISOR
THS-206,INV-134,ADVISOR
THS-207,INV-141,ADVISOR
THS-208,INV-147,ADVISOR
THS-209,INV-138,ADVISOR
THS-210,INV-131,ADVISOR
THS-211,INV-141,ADVISOR
THS-212,INV-145,ADVISOR
THS-213,INV-144,ADVISOR
THS-214,INV-136,ADVISOR
THS-215,INV-149,ADVISOR
THS-216,INV-145,ADVISOR
THS-217,INV-144,ADVISOR
THS-218,INV-153,ADVISOR
THS-219,INV-141,ADVISOR
THS-220,INV-148,ADVISOR
THS-221,INV-167,ADVISOR
THS-222,INV-162,ADVISOR
THS-223,INV-161,ADVISOR
THS-224,INV-161,ADVISOR
THS-225,INV-171,ADVISOR
THS-226,INV-158,ADVISOR
THS-227,INV-177,ADVISOR
THS-228,INV-156,ADVISOR
THS-229,INV-155,ADVISOR
THS-230,INV-173,ADVISOR
THS-231,INV-161,ADVISOR
THS-232,INV-178,ADVISOR
THS-233,INV-168,ADVISOR
THS-234,INV-177,ADVISOR
THS-235,INV-173,ADVISOR
THS-236,INV-167,ADVISOR
THS-237,INV-161,ADVISOR
THS-238,INV-155,ADVISOR
THS-239,INV-166,ADVISOR
THS-240,INV-162,ADVISOR
THS-241,INV-078,ADVISOR
THS-242,INV-081,ADVISOR
THS-243,INV-082,ADVISOR
THS-244,INV-088,ADVISOR
THS-245,INV-088,ADVISOR
THS-246,INV-076,ADVISOR
THS-247,INV-096,ADVISOR
THS-248,INV-092,ADVISOR
THS-249,INV-092,ADVISOR
THS-250,INV-079,ADVISOR
THS-251,INV-088,ADVISOR
THS-252,INV-095,ADVISOR
THS-253,INV-092,ADVISOR
THS-254,INV-094,ADVISOR
THS-255,INV-076,ADVISOR
THS-256,INV-095,ADVISOR
THS-257,INV-082,ADVISOR
THS-258,INV-076,ADVISOR
THS-259,INV-077,ADVISOR
THS-260,INV-074,ADVISOR
THS-261,INV-079,ADVISOR
THS-262,INV-099,ADVISOR
THS-263,INV-089,ADVISOR
THS-264,INV-094,ADVISOR
THS-265,INV-078,ADVISOR
THS-266,INV-091,ADVISOR
THS-267,INV-094,ADVISOR
THS-268,INV-076,ADVISOR
THS-269,INV-079,ADVISOR
THS-270,INV-096,ADVISOR
THS-271,INV-080,ADVISOR
THS-272,INV-094,ADVISOR
THS-273,INV-074,ADVISOR
THS-274,INV-074,ADVISOR
THS-275,INV-081,ADVISOR
THS-276,INV-080,ADVISOR
THS-277,INV-078,ADVISOR
THS-278,INV-086,ADVISOR
THS-279,INV-093,ADVISOR
THS-280,INV-093,ADVISOR
THS-281,INV-003,ADVISOR
THS-282,INV-022,ADVISOR
THS-283,INV-027,ADVISOR
THS-284,INV-010,ADVISOR
THS-285,INV-030,ADVISOR
THS-286,INV-039,ADVISOR
THS-287,INV-013,ADVISOR
THS-288,INV-004,ADVISOR
THS-289,INV-028,ADVISOR
THS-290,INV-017,ADVISOR
THS-291,INV-029,ADVISOR
THS-292,INV-015,ADVISOR
THS-293,INV-008,ADVISOR
THS-294,INV-001,ADVISOR
THS-295,INV-039,ADVISOR
THS-296,INV-039,ADVISOR
THS-297,INV-034,ADVISOR
THS-298,INV-019,ADVISOR
THS-299,INV-010,ADVISOR
THS-300,INV-017,ADVISOR
THS-301,INV-029,ADVISOR
THS-302,INV-033,ADVISOR
THS-303,INV-031,ADVISOR
THS-304,INV-016,ADVISOR
THS-305,INV-008,ADVISOR
THS-306,INV-018,ADVISOR
THS-307,INV-034,ADVISOR
THS-308,INV-007,ADVISOR
THS-309,INV-036,ADVISOR
THS-310,INV-025,ADVISOR
THS-311,INV-008,ADVISOR
THS-312,INV-021,ADVISOR
THS-313,INV-011,ADVISOR
THS-314,INV-026,ADVISOR
THS-315,INV-008,ADVISOR
THS-316,INV-035,ADVISOR
THS-317,INV-002,ADVISOR
THS-318,INV-040,ADVISOR
THS-319,INV-022,ADVISOR
THS-320,INV-009,ADVISOR
THS-321,INV-033,ADVISOR
THS-322,INV-028,ADVISOR
THS-323,INV-002,ADVISOR
THS-324,INV-011,ADVISOR
THS-325,INV-006,ADVISOR
THS-326,INV-039,ADVISOR
THS-327,INV-037,ADVISOR
THS-328,INV-035,ADVISOR
THS-329,INV-014,ADVISOR
THS-330,INV-013,ADVISOR
THS-331,INV-037,ADVISOR
THS-332,INV-012,ADVISOR
THS-333,INV-017,ADVISOR
THS-334,INV-032,ADVISOR
THS-335,INV-018,ADVISOR
THS-336,INV-002,ADVISOR
THS-337,INV-003,ADVISOR
THS-338,INV-016,ADVISOR
THS-339,INV-037,ADVISOR
THS-340,INV-006,ADVISOR
THS-341,INV-180,ADVISOR
THS-342,INV-175,ADVISOR
THS-343,INV-158,ADVISOR
THS-344,INV-159,ADVISOR
THS-345,INV-170,ADVISOR
THS-346,INV-178,ADVISOR
THS-347,INV-160,ADVISOR
THS-348,INV-167,ADVISOR
THS-349,INV-167,ADVISOR
THS-350,INV-162,ADVISOR
THS-351,INV-175,ADVISOR
THS-352,INV-169,ADVISOR
THS-353,INV-169,ADVISOR
THS-354,INV-180,ADVISOR
THS-355,INV-166,ADVISOR
THS-356,INV-175,ADVISOR
THS-357,INV-175,ADVISOR
THS-358,INV-161,ADVISOR
THS-359,INV-170,ADVISOR
THS-360,INV-162,ADVISOR
THS-361,INV-089,ADVISOR
THS-362,INV-081,ADVISOR
THS-363,INV-077,ADVISOR
THS-364,INV-096,ADVISOR
THS-365,INV-091,ADVISOR
THS-366,INV-080,ADVISOR
THS-367,INV-094,ADVISOR
THS-368,INV-074,ADVISOR
THS-369,INV-099,ADVISOR
THS-370,INV-078,ADVISOR
THS-371,INV-089,ADVISOR
THS-372,INV-099,ADVISOR
THS-373,INV-097,ADVISOR
THS-374,INV-077,ADVISOR
THS-375,INV-092,ADVISOR
THS-376,INV-077,ADVISOR
THS-377,INV-081,ADVISOR
THS-378,INV-099,ADVISOR
THS-379,INV-092,ADVISOR
THS-380,INV-088,ADVISOR
THS-381,INV-131,ADVISOR
THS-382,INV-129,ADVISOR
THS-383,INV-144,ADVISOR
THS-384,INV-153,ADVISOR
THS-385,INV-140,ADVISOR
THS-386,INV-129,ADVISOR
THS-387,INV-141,ADVISOR
THS-388,INV-151,ADVISOR
THS-389,INV-146,ADVISOR
THS-390,INV-150,ADVISOR
THS-391,INV-150,ADVISOR
THS-392,INV-140,ADVISOR
THS-393,INV-146,ADVISOR
THS-394,INV-142,ADVISOR
THS-395,INV-131,ADVISOR
THS-396,INV-148,ADVISOR
THS-397,INV-135,ADVISOR
THS-398,INV-145,ADVISOR
THS-399,INV-128,ADVISOR
THS-400,INV-133,ADVISOR
THS-401,INV-018,ADVISOR
THS-402,INV-027,ADVISOR
THS-403,INV-030,ADVISOR
THS-404,INV-046,ADVISOR
THS-405,INV-043,ADVISOR
THS-406,INV-049,ADVISOR
THS-407,INV-092,ADVISOR
THS-408,INV-077,ADVISOR
THS-409,INV-088,ADVISOR
THS-410,INV-104,ADVISOR
THS-411,INV-111,ADVISOR
THS-412,INV-118,ADVISOR
THS-413,INV-150,ADVISOR
THS-414,INV-129,ADVISOR
THS-415,INV-133,ADVISOR
THS-416,INV-175,ADVISOR
THS-417,INV-158,ADVISOR
THS-418,INV-176,ADVISOR
THS-419,INV-004,ADVISOR
THS-420,INV-025,ADVISOR
THS-421,INV-039,ADVISOR
THS-422,INV-062,ADVISOR
THS-423,INV-061,ADVISOR
THS-424,INV-060,ADVISOR
THS-425,INV-090,ADVISOR
THS-426,INV-087,ADVISOR
THS-427,INV-099,ADVISOR
THS-428,INV-124,ADVISOR
THS-429,INV-106,ADVISOR
THS-430,INV-119,ADVISOR
THS-431,INV-144,ADVISOR
THS-432,INV-148,ADVISOR
THS-433,INV-154,ADVISOR
THS-434,INV-167,ADVISOR
THS-435,INV-168,ADVISOR
THS-436,INV-166,ADVISOR
THS-437,INV-003,ADVISOR
THS-438,INV-017,ADVISOR
THS-439,INV-022,ADVISOR
THS-440,INV-055,ADVISOR
THS-441,INV-057,ADVISOR
THS-442,INV-048,ADVISOR
THS-443,INV-097,ADVISOR
THS-444,INV-077,ADVISOR
THS-445,INV-094,ADVISOR
THS-446,INV-116,ADVISOR
THS-447,INV-110,ADVISOR
THS-448,INV-103,ADVISOR
THS-449,INV-153,ADVISOR
THS-450,INV-145,ADVISOR
THS-451,INV-132,ADVISOR
THS-452,INV-157,ADVISOR
THS-453,INV-174,ADVISOR
THS-454,INV-173,ADVISOR
THS-455,INV-033,ADVISOR
THS-456,INV-017,ADVISOR
THS-457,INV-030,ADVISOR
THS-458,INV-071,ADVISOR
THS-459,INV-065,ADVISOR
THS-460,INV-048,ADVISOR
THS-461,INV-078,ADVISOR
THS-462,INV-096,ADVISOR
THS-463,INV-080,ADVISOR
THS-464,INV-105,ADVISOR
THS-465,INV-106,ADVISOR
THS-466,INV-103,ADVISOR
THS-467,INV-153,ADVISOR
THS-468,INV-143,ADVISOR
THS-469,INV-137,ADVISOR
THS-470,INV-169,ADVISOR
THS-471,INV-168,ADVISOR
THS-472,INV-176,ADVISOR
THS-473,INV-004,ADVISOR
THS-474,INV-031,ADVISOR
THS-475,INV-022,ADVISOR
THS-476,INV-056,ADVISOR
THS-477,INV-057,ADVISOR
THS-478,INV-060,ADVISOR
THS-479,INV-092,ADVISOR
THS-480,INV-086,ADVISOR
THS-481,INV-094,ADVISOR
THS-482,INV-108,ADVISOR
THS-483,INV-110,ADVISOR
THS-484,INV-103,ADVISOR
THS-485,INV-153,ADVISOR
THS-486,INV-129,ADVISOR
THS-487,INV-128,ADVISOR
THS-488,INV-177,ADVISOR
THS-489,INV-174,ADVISOR
THS-490,INV-172,ADVISOR
THS-491,INV-005,ADVISOR
THS-492,INV-009,ADVISOR
THS-493,INV-002,ADVISOR
THS-494,INV-047,ADVISOR
THS-495,INV-061,ADVISOR
THS-496,INV-070,ADVISOR
THS-497,INV-098,ADVISOR
THS-498,INV-096,ADVISOR
THS-499,INV-094,ADVISOR
THS-500,INV-124,ADVISOR
THS-501,INV-106,ADVISOR
THS-502,INV-102,ADVISOR
THS-503,INV-144,ADVISOR
THS-504,INV-140,ADVISOR
THS-505,INV-136,ADVISOR
THS-506,INV-175,ADVISOR
THS-507,INV-170,ADVISOR
THS-508,INV-161,ADVISOR
THS-509,INV-023,ADVISOR
THS-510,INV-025,ADVISOR
THS-511,INV-016,ADVISOR
THS-512,INV-053,ADVISOR
THS-513,INV-069,ADVISOR
THS-514,INV-045,ADVISOR
THS-515,INV-078,ADVISOR
THS-516,INV-085,ADVISOR
THS-517,INV-082,ADVISOR
THS-518,INV-123,ADVISOR
THS-519,INV-106,ADVISOR
THS-520,INV-102,ADVISOR
THS-521,INV-146,ADVISOR
THS-522,INV-138,ADVISOR
THS-523,INV-136,ADVISOR
THS-524,INV-177,ADVISOR
THS-525,INV-174,ADVISOR
THS-526,INV-166,ADVISOR
THS-527,INV-034,ADVISOR
THS-528,INV-009,ADVISOR
THS-529,INV-022,ADVISOR
THS-530,INV-052,ADVISOR
THS-531,INV-069,ADVISOR
THS-532,INV-060,ADVISOR
THS-533,INV-075,ADVISOR
THS-534,INV-085,ADVISOR
THS-535,INV-099,ADVISOR
THS-536,INV-120,ADVISOR
THS-537,INV-115,ADVISOR
THS-538,INV-118,ADVISOR
THS-539,INV-152,ADVISOR
THS-540,INV-148,ADVISOR
THS-541,INV-147,ADVISOR
THS-542,INV-165,ADVISOR
THS-543,INV-158,ADVISOR
THS-544,INV-163,ADVISOR
THS-545,INV-018,ADVISOR
THS-546,INV-017,ADVISOR
THS-547,INV-015,ADVISOR
THS-548,INV-071,ADVISOR
THS-549,INV-044,ADVISOR
THS-550,INV-045,ADVISOR
THS-551,INV-078,ADVISOR
THS-552,INV-085,ADVISOR
THS-553,INV-080,ADVISOR
THS-554,INV-113,ADVISOR
THS-555,INV-111,ADVISOR
THS-556,INV-122,ADVISOR
THS-557,INV-146,ADVISOR
THS-558,INV-148,ADVISOR
THS-559,INV-131,ADVISOR
THS-560,INV-167,ADVISOR
THS-561,INV-162,ADVISOR
THS-562,INV-172,ADVISOR
THS-563,INV-034,ADVISOR
THS-564,INV-006,ADVISOR
THS-565,INV-011,ADVISOR
THS-566,INV-047,ADVISOR
THS-567,INV-064,ADVISOR
THS-568,INV-070,ADVISOR
THS-569,INV-097,ADVISOR
THS-570,INV-093,ADVISOR
THS-571,INV-099,ADVISOR
THS-572,INV-124,ADVISOR
THS-573,INV-111,ADVISOR
THS-574,INV-100,ADVISOR
THS-575,INV-153,ADVISOR
THS-576,INV-129,ADVISOR
THS-577,INV-135,ADVISOR
THS-578,INV-164,ADVISOR
THS-579,INV-162,ADVISOR
THS-580,INV-161,ADVISOR
THS-581,INV-023,ADVISOR
THS-582,INV-017,ADVISOR
THS-583,INV-030,ADVISOR
THS-584,INV-073,ADVISOR
THS-585,INV-064,ADVISOR
THS-586,INV-060,ADVISOR
THS-587,INV-097,ADVISOR
THS-588,INV-077,ADVISOR
THS-589,INV-080,ADVISOR
THS-590,INV-105,ADVISOR
THS-591,INV-110,ADVISOR
THS-592,INV-122,ADVISOR
THS-593,INV-150,ADVISOR
THS-594,INV-145,ADVISOR
THS-595,INV-142,ADVISOR
THS-596,INV-155,ADVISOR
THS-597,INV-168,ADVISOR
THS-598,INV-161,ADVISOR
THS-599,INV-018,ADVISOR
THS-600,INV-013,ADVISOR
THS-601,INV-011,ADVISOR
THS-602,INV-073,ADVISOR
THS-603,INV-043,ADVISOR
THS-604,INV-049,ADVISOR
THS-605,INV-083,ADVISOR
THS-606,INV-096,ADVISOR
THS-607,INV-099,ADVISOR
THS-608,INV-120,ADVISOR
THS-609,INV-110,ADVISOR
THS-610,INV-122,ADVISOR
THS-611,INV-152,ADVISOR
THS-612,INV-140,ADVISOR
THS-613,INV-147,ADVISOR
THS-614,INV-169,ADVISOR
THS-615,INV-162,ADVISOR
THS-616,INV-166,ADVISOR
THS-617,INV-018,ADVISOR
THS-618,INV-006,ADVISOR
THS-619,INV-015,ADVISOR
THS-620,INV-055,ADVISOR
THS-621,INV-065,ADVISOR
THS-622,INV-045,ADVISOR
THS-623,INV-092,ADVISOR
THS-624,INV-096,ADVISOR
THS-625,INV-082,ADVISOR
THS-626,INV-120,ADVISOR
THS-627,INV-106,ADVISOR
THS-628,INV-103,ADVISOR
THS-629,INV-153,ADVISOR
THS-630,INV-139,ADVISOR
THS-631,INV-130,ADVISOR
THS-632,INV-171,ADVISOR
THS-633,INV-158,ADVISOR
THS-634,INV-178,ADVISOR
THS-635,INV-042,ADVISOR
THS-636,INV-013,ADVISOR
THS-637,INV-015,ADVISOR
THS-638,INV-066,ADVISOR
THS-639,INV-043,ADVISOR
THS-640,INV-060,ADVISOR
THS-641,INV-097,ADVISOR
THS-642,INV-085,ADVISOR
THS-643,INV-074,ADVISOR
THS-644,INV-104,ADVISOR
THS-645,INV-111,ADVISOR
THS-646,INV-122,ADVISOR
THS-647,INV-141,ADVISOR
THS-648,INV-139,ADVISOR
THS-649,INV-128,ADVISOR
THS-650,INV-167,ADVISOR
