publication_id,project_id,relation
PUB-061,PRJ-049,DERIVED_FROM
PUB-062,PRJ-050,DERIVED_FROM
PUB-063,PRJ-051,DERIVED_FROM
PUB-064,PRJ-052,DERIVED_FROM
PUB-065,PRJ-053,DERIVED_FROM
PUB-066,PRJ-054,DERIVED_FROM
PUB-067,PRJ-055,DERIVED_FROM
PUB-068,PRJ-056,DERIVED_FROM
PUB-069,PRJ-049,DERIVED_FROM
PUB-070,PRJ-050,DERIVED_FROM
PUB-071,PRJ-057,DERIVED_FROM
PUB-072,PRJ-058,DERIVED_FROM
PUB-073,PRJ-059,DERIVED_FROM
PUB-074,PRJ-060,DERIVED_FROM
PUB-075,PRJ-061,DERIVED_FROM
PUB-076,PRJ-062,DERIVED_FROM
PUB-077,PRJ-063,DERIVED_FROM
PUB-078,PRJ-064,DERIVED_FROM
PUB-079,PRJ-057,DERIVED_FROM
PUB-080,PRJ-058,DERIVED_FROM
PUB-081,PRJ-065,DERIVED_FROM
PUB-082,PRJ-066,DERIVED_FROM
PUB-083,PRJ-067,DERIVED_FROM
PUB-084,PRJ-068,DERIVED_FROM
PUB-085,PRJ-069,DERIVED_FROM
PUB-086,PRJ-070,DERIVED_FROM
PUB-087,PRJ-071,DERIVED_FROM
PUB-088,PRJ-072,DERIVED_FROM
PUB-089,PRJ-065,DERIVED_FROM
PUB-090,PRJ-066,DERIVED_FROM
PUB-091,PRJ-073,DERIVED_FROM
PUB-092,PRJ-074,DERIVED_FROM
PUB-093,PRJ-075,DERIVED_FROM
PUB-094,PRJ-076,DERIVED_FROM
PUB-095,PRJ-077,DERIVED_FROM
PUB-096,PRJ-078,DERIVED_FROM
PUB-097,PRJ-079,DERIVED_FROM
PUB-098,PRJ-080,DERIVED_FROM
PUB-099,PRJ-073,DERIVED_FROM
PUB-100,PRJ-074,DERIVED_FROM
PUB-101,PRJ-081,DERIVED_FROM
PUB-102,PRJ-082,DERIVED_FROM
PUB-103,PRJ-083,DERIVED_FROM
PUB-104,PRJ-084,DERIVED_FROM
PUB-105,PRJ-085,DERIVED_FROM
PUB-106,PRJ-086,DERIVED_FROM
PUB-107,PRJ-087,DERIVED_FROM
PUB-108,PRJ-088,DERIVED_FROM
PUB-109,PRJ-081,DERIVED_FROM
PUB-110,PRJ-082,DERIVED_FROM
PUB-111,PRJ-089,DERIVED_FROM
PUB-112,PRJ-090,DERIVED_FROM
PUB-113,PRJ-091,DERIVED_FROM
PUB-114,PRJ-092,DERIVED_FROM
PUB-115,PRJ-093,DERIVED_FROM
PUB-116,PRJ-094,DERIVED_FROM
PUB-117,PRJ-095,DERIVED_FROM
PUB-118,PRJ-096,DERIVED_FROM
PUB-119,PRJ-089,DERIVED_FROM
PUB-120,PRJ-090,DERIVED_FROM
PUB-121,PRJ-097,DERIVED_FROM
PUB-122,PRJ-098,DERIVED_FROM
PUB-123,PRJ-099,DERIVED_FROM
PUB-124,PRJ-100,DERIVED_FROM
PUB-125,PRJ-101,DERIVED_FROM
PUB-126,PRJ-102,DERIVED_FROM
PUB-127,PRJ-103,DERIVED_FROM
PUB-128,PRJ-104,DERIVED_FROM
PUB-129,PRJ-097,DERIVED_FROM
PUB-130,PRJ-098,DERIVED_FROM
PUB-131,PRJ-105,DERIVED_FROM
PUB-132,PRJ-106,DERIVED_FROM
PUB-133,PRJ-107,DERIVED_FROM
PUB-134,PRJ-108,DERIVED_FROM
PUB-135,PRJ-109,DERIVED_FROM
PUB-136,PRJ-110,DERIVED_FROM
PUB-137,PRJ-111,DERIVED_FROM
PUB-138,PRJ-112,DERIVED_FROM
PUB-139,PRJ-105,DERIVED_FROM
PUB-140,PRJ-106,DERIVED_FROM
PUB-141,PRJ-113,DERIVED_FROM
PUB-142,PRJ-114,DERIVED_FROM
PUB-143,PRJ-115,DERIVED_FROM
PUB-144,PRJ-116,DERIVED_FROM
PUB-145,PRJ-117,DERIVED_FROM
PUB-146,PRJ-118,DERIVED_FROM
PUB-147,PRJ-119,DERIVED_FROM
PUB-148,PRJ-120,DERIVED_FROM
PUB-149,PRJ-113,DERIVED_FROM
PUB-150,PRJ-114,DERIVED_FROM
PUB-151,PRJ-121,DERIVED_FROM
PUB-152,PRJ-122,DERIVED_FROM
PUB-153,PRJ-123,DERIVED_FROM
PUB-154,PRJ-124,DERIVED_FROM
PUB-155,PRJ-125,DERIVED_FROM
PUB-156,PRJ-126,DERIVED_FROM
PUB-157,PRJ-127,DERIVED_FROM
PUB-158,PRJ-128,DERIVED_FROM
PUB-159,PRJ-121,DERIVED_FROM
PUB-160,PRJ-122,DERIVED_FROM
PUB-161,PRJ-129,DERIVED_FROM
PUB-162,PRJ-130,DERIVED_FROM
PUB-163,PRJ-131,DERIVED_FROM
PUB-164,PRJ-132,DERIVED_FROM
PUB-165,PRJ-133,DERIVED_FROM
PUB-166,PRJ-134,DERIVED_FROM
PUB-167,PRJ-135,DERIVED_FROM
PUB-168,PRJ-136,DERIVED_FROM
PUB-169,PRJ-129,DERIVED_FROM
PUB-170,PRJ-130,DERIVED_FROM
PUB-171,PRJ-137,DERIVED_FROM
PUB-172,PRJ-138,DERIVED_FROM
PUB-173,PRJ-139,DERIVED_FROM
PUB-174,PRJ-140,DERIVED_FROM
PUB-175,PRJ-141,DERIVED_FROM
PUB-176,PRJ-142,DERIVED_FROM
PUB-177,PRJ-143,DERIVED_FROM
PUB-178,PRJ-144,DERIVED_FROM
PUB-179,PRJ-137,DERIVED_FROM
PUB-180,PRJ-138,DERIVED_FROM
PUB-181,PRJ-145,DERIVED_FROM
PUB-182,PRJ-146,DERIVED_FROM
PUB-183,PRJ-147,DERIVED_FROM
PUB-184,PRJ-148,DERIVED_FROM
PUB-185,PRJ-149,DERIVED_FROM
PUB-186,PRJ-150,DERIVED_FROM
PUB-187,PRJ-151,DERIVED_FROM
PUB-188,PRJ-152,DERIVED_FROM
PUB-189,PRJ-145,DERIVED_FROM
PUB-190,PRJ-146,DERIVED_FROM
PUB-191,PRJ-153,DERIVED_FROM
PUB-192,PRJ-154,DERIVED_FROM
PUB-193,PRJ-155,DERIVED_FROM
PUB-194,PRJ-156,DERIVED_FROM
PUB-195,PRJ-157,DERIVED_FROM
PUB-196,PRJ-158,DERIVED_FROM
PUB-197,PRJ-159,DERIVED_FROM
PUB-198,PRJ-160,DERIVED_FROM
PUB-199,PRJ-153,DERIVED_FROM
PUB-200,PRJ-154,DERIVED_FROM
